"",BBK01.OELL07U,BBK01.OELL07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:24,
2002-01,1.849,
2002-04,1.821,
2002-07,1.837,
2002-10,1.893,
2003-01,1.907,
2003-04,1.895,
2003-07,1.911,
2003-10,1.942,
2004-01,1.953,
2004-04,1.917,
2004-07,1.929,
2004-10,2.012,
2005-01,2.022,
2005-04,2.008,
2005-07,2.003,
2005-10,2.015,
2006-01,2.025,
2006-04,2.002,
2006-07,1.990,
2006-10,1.946,
2007-01,1.920,
2007-04,1.897,
2007-07,1.881,
2007-10,1.868,
2008-01,1.858,
2008-04,1.809,
2008-07,1.758,
2008-10,1.763,
2009-01,1.783,
2009-04,1.792,
2009-07,1.823,
2009-10,1.918,
2010-01,1.941,
2010-04,1.943,
2010-07,1.943,
2010-10,1.951,
2011-01,1.944,
2011-04,1.929,
2011-07,1.926,
2011-10,1.944,
2012-01,1.958,
2012-04,1.970,
2012-07,2.004,
2012-10,2.025,
2013-01,2.069,
2013-04,2.066,
2013-07,2.061,
2013-10,2.057,
2014-01,2.038,
2014-04,2.027,
2014-07,2.014,
