"",BBFN1.M.DE.N.1.L.R12.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:07,
1978-12,0.240,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.261,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.255,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.383,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,0.249,
1983-01,0.267,
1983-02,0.264,
1983-03,0.255,
1983-04,0.305,
1983-05,0.315,
1983-06,0.327,
1983-07,0.326,
1983-08,0.325,
1983-09,0.327,
1983-10,0.230,
1983-11,0.231,
1983-12,0.224,
1984-01,0.218,
1984-02,0.217,
1984-03,0.215,
1984-04,0.213,
1984-05,0.212,
1984-06,0.210,
1984-07,0.224,
1984-08,0.275,
1984-09,0.282,
1984-10,0.269,
1984-11,0.289,
1984-12,0.312,
1985-01,0.297,
1985-02,0.297,
1985-03,0.298,
1985-04,0.286,
1985-05,0.285,
1985-06,0.295,
1985-07,0.288,
1985-08,0.224,
1985-09,0.239,
1985-10,0.230,
1985-11,0.234,
1985-12,0.264,
1986-01,0.272,
1986-02,0.276,
1986-03,0.269,
1986-04,0.253,
1986-05,0.244,
1986-06,0.297,
1986-07,0.335,
1986-08,0.362,
1986-09,0.348,
1986-10,0.348,
1986-11,0.334,
1986-12,0.316,
1987-01,0.336,
1987-02,0.351,
1987-03,0.342,
1987-04,0.334,
1987-05,0.341,
1987-06,0.338,
1987-07,0.337,
1987-08,0.311,
1987-09,0.306,
1987-10,0.306,
1987-11,0.306,
1987-12,0.313,
1988-01,0.356,
1988-02,0.354,
1988-03,0.353,
1988-04,0.348,
1988-05,0.342,
1988-06,0.342,
1988-07,0.342,
1988-08,0.361,
1988-09,0.308,
1988-10,0.261,
1988-11,0.270,
1988-12,0.199,
1989-01,0.193,
1989-02,0.193,
1989-03,0.193,
1989-04,0.192,
1989-05,0.167,
1989-06,0.167,
1989-07,0.170,
1989-08,0.171,
1989-09,0.169,
1989-10,0.178,
1989-11,0.178,
1989-12,0.157,
1990-01,0.208,
1990-02,0.185,
1990-03,0.183,
1990-04,0.183,
1990-05,0.175,
1990-06,0.169,
1990-07,0.207,
1990-08,0.160,
1990-09,0.139,
1990-10,0.139,
1990-11,0.149,
1990-12,0.142,
1991-01,0.160,
1991-02,0.256,
1991-03,0.258,
1991-04,0.263,
1991-05,0.265,
1991-06,0.273,
1991-07,0.282,
1991-08,0.285,
1991-09,0.283,
1991-10,0.288,
1991-11,0.287,
1991-12,0.288,
1992-01,0.293,
1992-02,0.296,
1992-03,0.294,
1992-04,0.294,
1992-05,0.223,
1992-06,0.163,
1992-07,0.177,
1992-08,0.175,
1992-09,0.181,
1992-10,0.182,
1992-11,0.181,
1992-12,0.189,
1993-01,0.189,
1993-02,0.190,
1993-03,0.189,
1993-04,0.206,
1993-05,0.207,
1993-06,0.230,
1993-07,0.280,
1993-08,0.285,
1993-09,0.286,
1993-10,0.286,
1993-11,0.281,
1993-12,0.304,
1994-01,0.310,
1994-02,0.303,
1994-03,0.306,
1994-04,0.328,
1994-05,0.280,
1994-06,0.305,
1994-07,0.328,
1994-08,0.322,
1994-09,0.295,
1994-10,0.289,
1994-11,0.287,
1994-12,0.285,
1995-01,0.274,
1995-02,0.264,
1995-03,0.253,
1995-04,0.286,
1995-05,0.298,
1995-06,0.296,
1995-07,0.303,
1995-08,0.283,
1995-09,0.510,
1995-10,0.524,
1995-11,0.519,
1995-12,0.441,
1996-01,0.440,
1996-02,0.475,
1996-03,0.468,
1996-04,0.497,
1996-05,0.543,
1996-06,0.540,
1996-07,0.575,
1996-08,0.575,
1996-09,0.570,
1996-10,0.571,
1996-11,0.567,
1996-12,0.570,
1997-01,0.584,
1997-02,0.588,
1997-03,0.605,
1997-04,0.611,
1997-05,0.519,
1997-06,0.531,
1997-07,0.547,
1997-08,0.563,
1997-09,0.614,
1997-10,0.600,
1997-11,0.598,
1997-12,0.608,
1998-01,0.623,
1998-02,0.624,
1998-03,0.623,
1998-04,0.627,
1998-05,0.659,
1998-06,0.669,
1998-07,0.661,
1998-08,0.672,
1998-09,0.637,
1998-10,0.700,
1998-11,0.702,
1998-12,0.685,
1999-01,0.802,
1999-02,0.966,
1999-03,0.926,
1999-04,1.033,
1999-05,0.989,
1999-06,1.040,
1999-07,0.941,
1999-08,0.939,
1999-09,1.090,
1999-10,0.910,
1999-11,0.896,
1999-12,0.947,
2000-01,0.924,
2000-02,0.891,
2000-03,0.889,
2000-04,0.878,
2000-05,0.817,
2000-06,0.593,
2000-07,0.620,
2000-08,0.616,
2000-09,0.612,
2000-10,0.622,
2000-11,0.668,
2000-12,0.688,
2001-01,0.662,
2001-02,0.807,
2001-03,0.810,
2001-04,0.745,
2001-05,0.705,
2001-06,0.656,
