"",BBK01.OEAC41M,BBK01.OEAC41M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:00,
2002-01,0.654,
2002-04,0.619,
2002-07,0.624,
2002-10,0.612,
2003-01,0.587,
2003-04,0.666,
2003-07,0.656,
2003-10,0.643,
2004-01,0.632,
2004-04,0.617,
2004-07,0.601,
2004-10,0.555,
2005-01,0.586,
2005-04,0.565,
2005-07,0.595,
2005-10,0.612,
2006-01,0.585,
2006-04,0.626,
2006-07,0.602,
2006-10,0.592,
2007-01,0.599,
2007-04,0.593,
2007-07,0.581,
2007-10,0.547,
2008-01,0.532,
2008-04,0.568,
2008-07,0.571,
2008-10,0.559,
2009-01,0.571,
2009-04,0.573,
2009-07,0.591,
2009-10,0.587,
2010-01,0.638,
2010-04,0.599,
2010-07,0.620,
2010-10,0.582,
2011-01,0.626,
2011-04,0.643,
2011-07,0.630,
2011-10,0.647,
2012-01,0.656,
2012-04,0.702,
2012-07,0.707,
2012-10,0.725,
2013-01,0.691,
2013-04,0.751,
2013-07,0.788,
2013-10,0.873,
2014-01,0.894,
2014-04,0.910,
2014-07,0.918,
