"",BBK01.OEAC14S,BBK01.OEAC14S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:07,
2002-01,4.197,
2002-04,4.182,
2002-07,4.168,
2002-10,3.958,
2003-01,3.897,
2003-04,3.911,
2003-07,3.882,
2003-10,3.834,
2004-01,3.790,
2004-04,3.770,
2004-07,3.731,
2004-10,3.634,
2005-01,3.644,
2005-04,3.608,
2005-07,3.580,
2005-10,3.502,
2006-01,3.472,
2006-04,3.460,
2006-07,3.437,
2006-10,3.405,
2007-01,3.373,
2007-04,3.303,
2007-07,3.303,
2007-10,3.346,
2008-01,3.319,
2008-04,3.321,
2008-07,3.314,
2008-10,3.315,
2009-01,3.328,
2009-04,3.480,
2009-07,3.494,
2009-10,3.573,
2010-01,3.565,
2010-04,3.578,
2010-07,3.587,
2010-10,3.634,
2011-01,3.623,
2011-04,3.659,
2011-07,3.653,
2011-10,3.701,
2012-01,3.706,
2012-04,4.140,
2012-07,4.158,
2012-10,4.168,
2013-01,4.212,
2013-04,4.229,
2013-07,4.251,
2013-10,4.254,
2014-01,4.262,
2014-04,4.272,
2014-07,4.290,
