"",BBK01.OEHB04K,BBK01.OEHB04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:37,
2002-01,19.198,
2002-04,19.516,
2002-07,19.741,
2002-10,20.469,
2003-01,18.790,
2003-04,18.965,
2003-07,19.121,
2003-10,19.180,
2004-01,19.206,
2004-04,19.206,
2004-07,19.304,
2004-10,19.367,
2005-01,19.375,
2005-04,19.417,
2005-07,19.457,
2005-10,19.506,
2006-01,19.578,
2006-04,19.589,
2006-07,19.503,
2006-10,19.453,
2007-01,19.048,
2007-04,19.075,
2007-07,19.103,
2007-10,18.857,
2008-01,19.011,
2008-04,19.189,
2008-07,19.342,
2008-10,19.546,
2009-01,19.679,
2009-04,19.998,
2009-07,21.181,
2009-10,21.519,
2010-01,21.726,
2010-04,22.138,
2010-07,22.517,
2010-10,23.294,
2011-01,23.642,
2011-04,23.966,
2011-07,24.389,
2011-10,24.766,
2012-01,24.976,
2012-04,25.310,
2012-07,25.727,
2012-10,26.137,
2013-01,26.208,
2013-04,26.360,
2013-07,26.463,
2013-10,26.595,
2014-01,26.360,
2014-04,26.302,
2014-07,26.409,
