"",BBK01.OEXL05I,BBK01.OEXL05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:13,
2002-01,0.303,
2002-04,0.205,
2002-07,0.210,
2002-10,0.217,
2003-01,0.213,
2003-04,0.208,
2003-07,0.199,
2003-10,0.196,
2004-01,0.195,
2004-04,0.199,
2004-07,0.201,
2004-10,0.188,
2005-01,0.186,
2005-04,0.182,
2005-07,0.186,
2005-10,0.189,
2006-01,0.183,
2006-04,0.180,
2006-07,0.181,
2006-10,0.199,
2007-01,0.188,
2007-04,0.188,
2007-07,0.184,
2007-10,0.188,
2008-01,0.201,
2008-04,0.195,
2008-07,0.189,
2008-10,0.224,
2009-01,0.227,
2009-04,0.244,
2009-07,0.250,
2009-10,0.304,
2010-01,0.342,
2010-04,0.352,
2010-07,0.387,
2010-10,0.446,
2011-01,0.937,
2011-04,1.259,
2011-07,1.386,
2011-10,1.942,
2012-01,2.495,
2012-04,2.590,
2012-07,2.605,
2012-10,2.632,
2013-01,2.631,
2013-04,2.648,
2013-07,2.656,
2013-10,2.633,
2014-01,2.648,
2014-04,2.618,
2014-07,2.609,
