"",BBFN1.M.DE.N.1.L.HR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Croatia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:31,
1994-07,0.056,
1994-08,0.050,
1994-09,0.058,
1994-10,0.053,
1994-11,0.053,
1994-12,0.066,
1995-01,0.061,
1995-02,0.047,
1995-03,0.050,
1995-04,0.055,
1995-05,0.051,
1995-06,0.049,
1995-07,0.112,
1995-08,0.116,
1995-09,0.103,
1995-10,0.110,
1995-11,0.111,
1995-12,0.114,
1996-01,0.103,
1996-02,0.101,
1996-03,0.114,
1996-04,0.090,
1996-05,0.091,
1996-06,0.087,
1996-07,0.079,
1996-08,0.076,
1996-09,0.073,
1996-10,0.070,
1996-11,0.076,
1996-12,0.080,
1997-01,0.077,
1997-02,0.073,
1997-03,0.069,
1997-04,0.054,
1997-05,0.060,
1997-06,0.054,
1997-07,0.055,
1997-08,0.046,
1997-09,0.045,
1997-10,0.047,
1997-11,0.054,
1997-12,0.056,
1998-01,0.048,
1998-02,0.049,
1998-03,0.055,
1998-04,0.056,
1998-05,0.054,
1998-06,0.038,
1998-07,0.052,
1998-08,0.056,
1998-09,0.056,
1998-10,0.052,
1998-11,0.072,
1998-12,0.066,
1999-01,0.063,
1999-02,0.065,
1999-03,0.064,
1999-04,0.068,
1999-05,0.071,
1999-06,0.068,
1999-07,0.073,
1999-08,0.073,
1999-09,0.079,
1999-10,0.078,
1999-11,0.075,
1999-12,0.061,
2000-01,0.073,
2000-02,0.062,
2000-03,0.063,
2000-04,0.065,
2000-05,0.066,
2000-06,0.072,
2000-07,0.074,
2000-08,0.079,
2000-09,0.064,
2000-10,0.060,
2000-11,0.055,
2000-12,0.057,
2001-01,0.048,
2001-02,0.051,
2001-03,0.057,
2001-04,0.054,
2001-05,0.053,
2001-06,0.058,
2001-07,0.057,
2001-08,0.057,
2001-09,0.054,
2001-10,0.051,
2001-11,0.045,
2001-12,0.049,
2002-01,0.055,
2002-02,0.050,
2002-03,0.051,
2002-04,0.050,
2002-05,0.053,
2002-06,0.058,
2002-07,0.056,
2002-08,0.056,
2002-09,0.055,
2002-10,0.061,
2002-11,0.059,
2002-12,0.059,
2003-01,0.064,
2003-02,0.066,
2003-03,0.064,
2003-04,0.056,
2003-05,0.062,
2003-06,0.073,
2003-07,0.065,
2003-08,0.059,
2003-09,0.059,
2003-10,0.067,
2003-11,0.072,
2003-12,0.070,
2004-01,0.063,
2004-02,0.069,
2004-03,0.060,
2004-04,0.049,
2004-05,0.052,
2004-06,.,No value available
2004-07,0.053,
2004-08,0.064,
2004-09,0.053,
2004-10,0.050,
2004-11,0.055,
2004-12,0.054,
2005-01,0.052,
2005-02,0.048,
2005-03,0.049,
2005-04,0.049,
2005-05,0.047,
2005-06,0.053,
2005-07,0.054,
2005-08,0.053,
2005-09,0.055,
2005-10,0.054,
2005-11,0.054,
2005-12,0.060,
2006-01,0.051,
2006-02,0.052,
2006-03,0.048,
2006-04,0.046,
2006-05,0.042,
2006-06,0.050,
2006-07,0.047,
2006-08,0.044,
2006-09,0.055,
2006-10,0.054,
2006-11,0.056,
2006-12,0.064,
2007-01,0.050,
2007-02,0.055,
2007-03,0.054,
2007-04,0.055,
2007-05,0.053,
2007-06,.,No value available
2007-07,0.055,
2007-08,0.057,
2007-09,0.067,
2007-10,0.053,
2007-11,0.053,
2007-12,0.050,
2008-01,0.053,
2008-02,0.050,
2008-03,0.058,
2008-04,0.062,
2008-05,0.056,
2008-06,0.065,
2008-07,0.072,
2008-08,0.066,
2008-09,0.068,
2008-10,0.061,
2008-11,0.052,
2008-12,0.062,
2009-01,0.056,
2009-02,0.054,
2009-03,0.059,
2009-04,0.055,
2009-05,0.055,
2009-06,0.068,
2009-07,0.071,
2009-08,0.062,
2009-09,0.066,
2009-10,0.067,
2009-11,0.057,
2009-12,0.065,
2010-01,0.061,
2010-02,0.063,
2010-03,0.073,
2010-04,0.072,
2010-05,0.067,
2010-06,0.059,
2010-07,0.083,
2010-08,0.081,
2010-09,0.087,
2010-10,0.082,
2010-11,0.069,
2010-12,0.062,
2011-01,0.050,
2011-02,0.056,
2011-03,0.063,
2011-04,0.058,
2011-05,0.054,
2011-06,0.050,
2011-07,0.052,
2011-08,0.046,
2011-09,0.054,
2011-10,0.045,
2011-11,0.057,
2011-12,0.070,
2012-01,0.063,
2012-02,0.050,
2012-03,0.057,
2012-04,0.061,
2012-05,0.055,
2012-06,0.058,
2012-07,0.057,
2012-08,0.048,
2012-09,0.056,
2012-10,0.049,
2012-11,0.055,
2012-12,0.052,
2013-01,0.066,
2013-02,0.041,
2013-03,0.044,
2013-04,0.047,
2013-05,0.047,
2013-06,0.053,
2013-07,0.078,
2013-08,0.070,
2013-09,0.069,
2013-10,0.065,
2013-11,0.063,
2013-12,0.064,
2014-01,0.055,
2014-02,0.059,
2014-03,0.061,
2014-04,0.060,
2014-05,0.047,
2014-06,0.054,
2014-07,0.054,
2014-08,0.064,
2014-09,0.062,
2014-10,0.049,
2014-11,0.048,
2014-12,0.047,
