"",BBK01.OEHB01T,BBK01.OEHB01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:19,
2002-01,8.634,
2002-04,8.697,
2002-07,8.771,
2002-10,8.790,
2003-01,8.800,
2003-04,8.843,
2003-07,8.966,
2003-10,9.084,
2004-01,8.992,
2004-04,9.124,
2004-07,9.183,
2004-10,9.151,
2005-01,9.028,
2005-04,9.015,
2005-07,8.985,
2005-10,8.989,
2006-01,8.911,
2006-04,8.988,
2006-07,9.090,
2006-10,9.046,
2007-01,9.075,
2007-04,9.116,
2007-07,9.051,
2007-10,9.119,
2008-01,8.944,
2008-04,8.894,
2008-07,8.815,
2008-10,8.993,
2009-01,8.640,
2009-04,8.633,
2009-07,8.540,
2009-10,8.596,
2010-01,8.548,
2010-04,8.539,
2010-07,8.587,
2010-10,8.514,
2011-01,8.574,
2011-04,8.626,
2011-07,8.661,
2011-10,8.706,
2012-01,8.717,
2012-04,8.718,
2012-07,8.878,
2012-10,8.894,
2013-01,8.875,
2013-04,8.966,
2013-07,9.135,
2013-10,9.162,
2014-01,9.244,
2014-04,9.353,
2014-07,9.475,
