"",BBK01.OEAD31U,BBK01.OEAD31U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:48,
2002-01,1.205,
2002-04,1.190,
2002-07,1.171,
2002-10,1.182,
2003-01,1.165,
2003-04,1.159,
2003-07,1.135,
2003-10,1.154,
2004-01,1.121,
2004-04,1.107,
2004-07,1.126,
2004-10,1.116,
2005-01,1.049,
2005-04,1.042,
2005-07,1.008,
2005-10,0.984,
2006-01,0.952,
2006-04,0.942,
2006-07,0.949,
2006-10,0.966,
2007-01,0.955,
2007-04,0.961,
2007-07,0.944,
2007-10,0.961,
2008-01,0.954,
2008-04,0.983,
2008-07,0.989,
2008-10,0.983,
2009-01,0.977,
2009-04,1.010,
2009-07,1.012,
2009-10,0.975,
2010-01,1.023,
2010-04,1.029,
2010-07,1.028,
2010-10,1.049,
2011-01,1.101,
2011-04,1.120,
2011-07,1.116,
2011-10,1.096,
2012-01,1.082,
2012-04,1.094,
2012-07,1.097,
2012-10,1.081,
2013-01,1.069,
2013-04,1.067,
2013-07,1.083,
2013-10,1.083,
2014-01,1.060,
2014-04,1.072,
2014-07,1.094,
