"",BBK01.OEXB15N,BBK01.OEXB15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:01,
2002-01,1.486,
2002-04,1.546,
2002-07,1.583,
2002-10,1.551,
2003-01,1.567,
2003-04,1.607,
2003-07,1.641,
2003-10,1.765,
2004-01,1.605,
2004-04,1.817,
2004-07,1.918,
2004-10,1.942,
2005-01,1.944,
2005-04,1.954,
2005-07,1.998,
2005-10,2.065,
2006-01,2.145,
2006-04,2.148,
2006-07,2.208,
2006-10,2.220,
2007-01,2.219,
2007-04,2.200,
2007-07,2.243,
2007-10,2.322,
2008-01,2.457,
2008-04,2.515,
2008-07,2.597,
2008-10,2.617,
2009-01,2.430,
2009-04,2.415,
2009-07,2.421,
2009-10,2.443,
2010-01,2.325,
2010-04,2.364,
2010-07,2.400,
2010-10,2.351,
2011-01,2.465,
2011-04,2.543,
2011-07,2.619,
2011-10,2.650,
2012-01,2.673,
2012-04,2.712,
2012-07,2.732,
2012-10,2.781,
2013-01,2.741,
2013-04,2.791,
2013-07,2.829,
2013-10,2.838,
2014-01,2.819,
2014-04,2.785,
2014-07,2.736,
