"",BBK01.OEXJ04S,BBK01.OEXJ04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:45,
2002-01,0.224,
2002-04,0.225,
2002-07,0.213,
2002-10,0.166,
2003-01,0.167,
2003-04,0.166,
2003-07,0.163,
2003-10,0.161,
2004-01,0.150,
2004-04,0.127,
2004-07,0.109,
2004-10,0.112,
2005-01,0.108,
2005-04,0.101,
2005-07,0.096,
2005-10,0.141,
2006-01,0.164,
2006-04,0.179,
2006-07,0.193,
2006-10,0.217,
2007-01,0.289,
2007-04,0.305,
2007-07,0.356,
2007-10,0.393,
2008-01,0.435,
2008-04,0.463,
2008-07,0.460,
2008-10,0.385,
2009-01,0.174,
2009-04,0.120,
2009-07,0.085,
2009-10,0.073,
2010-01,0.066,
2010-04,0.061,
2010-07,0.064,
2010-10,0.066,
2011-01,0.112,
2011-04,0.076,
2011-07,0.087,
2011-10,0.388,
2012-01,0.410,
2012-04,0.485,
2012-07,0.514,
2012-10,0.541,
2013-01,0.229,
2013-04,0.545,
2013-07,0.532,
2013-10,0.478,
2014-01,0.490,
2014-04,0.468,
2014-07,0.439,
