"",BBSF2.M.1.T.00000.ALT01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Pension investment funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:21,
2009-09,65,
2009-10,64,
2009-11,66,
2009-12,66,
2010-01,43,
2010-02,42,
2010-03,43,
2010-04,43,
2010-05,43,
2010-06,42,
2010-07,48,
2010-08,42,
2010-09,42,
2010-10,44,
2010-11,48,
2010-12,49,
2011-01,49,
2011-02,52,
2011-03,51,
2011-04,47,
2011-05,49,
2011-06,50,
2011-07,50,
2011-08,47,
2011-09,51,
2011-10,52,
2011-11,49,
2011-12,33,
2012-01,42,
2012-02,40,
2012-03,38,
2012-04,38,
2012-05,36,
2012-06,36,
2012-07,38,
2012-08,41,
2012-09,44,
2012-10,45,
2012-11,42,
2012-12,47,
2013-01,47,
2013-02,48,
2013-03,50,
2013-04,49,
2013-05,33,
2013-06,41,
2013-07,41,
2013-08,40,
2013-09,40,
2013-10,39,
2013-11,38,
2013-12,40,
2014-01,45,
2014-02,47,
2014-03,47,
2014-04,47,
2014-05,48,
2014-06,46,
2014-07,45,
2014-08,46,
2014-09,47,
2014-10,47,
2014-11,30,
