"",BBK01.TXI380,BBK01.TXI380_FLAGS
"",DEPOSITS OF GENERAL GOVERNMENT / OTHER GENERAL GOVERNMENT / WITH AGREED MATURITIES OF OVER 1 YEAR AND UP TO 2 YEARS / GERMAN CONTRIBUTION,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:35,
1980-01,293,
1980-02,303,
1980-03,304,
1980-04,302,
1980-05,287,
1980-06,233,
1980-07,196,
1980-08,187,
1980-09,190,
1980-10,189,
1980-11,158,
1980-12,174,
1981-01,168,
1981-02,165,
1981-03,163,
1981-04,176,
1981-05,170,
1981-06,173,
1981-07,171,
1981-08,156,
1981-09,151,
1981-10,153,
1981-11,141,
1981-12,127,
1982-01,132,
1982-02,144,
1982-03,143,
1982-04,141,
1982-05,147,
1982-06,144,
1982-07,142,
1982-08,141,
1982-09,143,
1982-10,153,
1982-11,152,
1982-12,159,
1983-01,164,
1983-02,169,
1983-03,175,
1983-04,169,
1983-05,182,
1983-06,173,
1983-07,177,
1983-08,197,
1983-09,205,
1983-10,211,
1983-11,211,
1983-12,223,
1984-01,225,
1984-02,231,
1984-03,247,
1984-04,246,
1984-05,245,
1984-06,246,
1984-07,248,
1984-08,250,
1984-09,264,
1984-10,265,
1984-11,269,
1984-12,258,
1985-01,259,
1985-02,255,
1985-03,256,
1985-04,257,
1985-05,242,
1985-06,242,
1985-07,245,
1985-08,244,
1985-09,239,
1985-10,233,
1985-11,227,
1985-12,224,
1986-01,210,
1986-02,213,
1986-03,220,
1986-04,224,
1986-05,243,
1986-06,245,
1986-07,243,
1986-08,244,
1986-09,245,
1986-10,246,
1986-11,249,
1986-12,249,
1987-01,146,
1987-02,182,
1987-03,189,
1987-04,253,
1987-05,280,
1987-06,271,
1987-07,279,
1987-08,280,
1987-09,285,
1987-10,304,
1987-11,307,
1987-12,302,
1988-01,295,
1988-02,296,
1988-03,287,
1988-04,265,
1988-05,252,
1988-06,234,
1988-07,184,
1988-08,179,
1988-09,166,
1988-10,171,
1988-11,173,
1988-12,179,
1989-01,183,
1989-02,171,
1989-03,179,
1989-04,184,
1989-05,179,
1989-06,172,
1989-07,168,
1989-08,173,
1989-09,166,
1989-10,165,
1989-11,182,
1989-12,194,
1990-01,199,
1990-02,228,
1990-03,217,
1990-04,235,
1990-05,225,
1990-06,219,
1990-07,228,
1990-08,232,
1990-09,234,
1990-10,239,
1990-11,254,
1990-12,246,
1991-01,235,
1991-02,237,
1991-03,232,
1991-04,223,
1991-05,236,
1991-06,236,
1991-07,231,
1991-08,224,
1991-09,219,
1991-10,216,
1991-11,210,
1991-12,202,
1992-01,215,
1992-02,215,
1992-03,216,
1992-04,223,
1992-05,194,
1992-06,201,
1992-07,203,
1992-08,203,
1992-09,203,
1992-10,217,
1992-11,226,
1992-12,215,
1993-01,219,
1993-02,213,
1993-03,219,
1993-04,248,
1993-05,245,
1993-06,242,
1993-07,262,
1993-08,269,
1993-09,290,
1993-10,293,
1993-11,302,
1993-12,191,
1994-01,199,
1994-02,204,
1994-03,198,
1994-04,198,
1994-05,221,
1994-06,225,
1994-07,224,
1994-08,229,
1994-09,240,
1994-10,245,
1994-11,258,
1994-12,258,
1995-01,265,
1995-02,266,
1995-03,216,
1995-04,217,
1995-05,187,
1995-06,207,
1995-07,222,
1995-08,253,
1995-09,253,
1995-10,290,
1995-11,302,
1995-12,305,
1996-01,308,
1996-02,324,
1996-03,318,
1996-04,306,
1996-05,307,
1996-06,308,
1996-07,304,
1996-08,273,
1996-09,291,
1996-10,296,
1996-11,269,
1996-12,262,
1997-01,255,
1997-02,252,
1997-03,247,
1997-04,256,
1997-05,283,
1997-06,275,
1997-07,263,
1997-08,263,
1997-09,264,
1997-10,268,
1997-11,306,
1997-12,310,
1998-01,313,
1998-02,322,
1998-03,337,
1998-04,345,
1998-05,344,
1998-06,343,
1998-07,368,
1998-08,380,
1998-09,374,
1998-10,382,
1998-11,365,
1998-12,398,
1999-01,262,
1999-02,266,
1999-03,285,
1999-04,295,
1999-05,291,
1999-06,302,
1999-07,306,
1999-08,403,
1999-09,366,
1999-10,403,
1999-11,381,
1999-12,447,
2000-01,858,
2000-02,957,
2000-03,930,
2000-04,1032,
2000-05,1010,
2000-06,1015,
2000-07,1138,
2000-08,1148,
2000-09,1101,
2000-10,1125,
2000-11,1172,
2000-12,1293,
2001-01,1315,
2001-02,1354,
2001-03,1350,
2001-04,1542,
2001-05,1535,
2001-06,1381,
2001-07,1054,
2001-08,1037,
2001-09,1035,
2001-10,1034,
2001-11,1038,
2001-12,1173,
2002-01,1242,
2002-02,1225,
2002-03,1215,
2002-04,1006,
2002-05,1028,
2002-06,1052,
2002-07,1020,
2002-08,1019,
2002-09,901,
2002-10,894,
2002-11,891,
2002-12,968,
2003-01,955,
2003-02,688,
2003-03,654,
2003-04,670,
2003-05,654,
2003-06,654,
2003-07,624,
2003-08,639,
2003-09,669,
2003-10,609,
2003-11,626,
2003-12,631,
2004-01,595,
2004-02,578,
2004-03,603,
2004-04,601,
2004-05,630,
2004-06,613,
2004-07,611,
2004-08,588,
2004-09,604,
2004-10,677,
2004-11,693,
2004-12,609,
2005-01,636,
2005-02,627,
2005-03,634,
2005-04,649,
2005-05,652,
2005-06,654,
2005-07,636,
2005-08,642,
2005-09,645,
2005-10,616,
2005-11,634,
2005-12,619,
2006-01,665,
2006-02,697,
2006-03,721,
2006-04,784,
2006-05,817,
2006-06,850,
2006-07,828,
2006-08,857,
2006-09,1142,
2006-10,1178,
2006-11,1219,
2006-12,1532,
2007-01,1848,
2007-02,1864,
2007-03,1863,
2007-04,1831,
2007-05,1885,
2007-06,2785,
2007-07,2851,
2007-08,2904,
2007-09,2933,
2007-10,2923,
2007-11,3143,
2007-12,3495,
2008-01,3024,
2008-02,3192,
2008-03,4200,
2008-04,4232,
2008-05,4345,
2008-06,4796,
2008-07,4516,
2008-08,4592,
2008-09,4602,
2008-10,4503,
2008-11,4363,
2008-12,3569,
2009-01,3618,
2009-02,3881,
2009-03,3355,
2009-04,3454,
2009-05,3508,
2009-06,3160,
2009-07,3341,
2009-08,3445,
2009-09,3395,
2009-10,3380,
2009-11,3275,
2009-12,3163,
2010-01,3114,
2010-02,3130,
2010-03,2952,
2010-04,2906,
2010-05,2809,
2010-06,2414,
2010-07,2146,
2010-08,2027,
2010-09,2068,
2010-10,2116,
2010-11,2052,
2010-12,1969,
2011-01,1917,
2011-02,1715,
2011-03,1785,
2011-04,1820,
2011-05,1922,
2011-06,2090,
2011-07,2794,
2011-08,2843,
2011-09,2959,
2011-10,3102,
2011-11,3210,
2011-12,3345,
2012-01,3395,
2012-02,3576,
2012-03,3718,
2012-04,3737,
2012-05,3941,
2012-06,4625,
2012-07,4315,
2012-08,4401,
2012-09,4400,
2012-10,4347,
2012-11,4455,
2012-12,4446,
2013-01,4449,
2013-02,4422,
2013-03,4886,
2013-04,5082,
2013-05,5421,
2013-06,5404,
2013-07,4957,
2013-08,5106,
2013-09,5102,
2013-10,5416,
2013-11,5412,
2013-12,5696,
2014-01,5652,
2014-02,6089,
2014-03,6080,
2014-04,6165,
2014-05,6107,
2014-06,6095,
2014-07,5938,
2014-08,6014,
2014-09,5799,
2014-10,5849,
2014-11,6444,
2014-12,7601,
2015-01,7500,
