"",BBEX3.M.SGD.USD.CA.AB.A01,BBEX3.M.SGD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Singapore / USD 1 = SGD ... (selling),
unit,SGD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:54,
1989-01,1.93800,
1989-02,1.93550,
1989-03,1.96550,
1989-04,1.95600,
1989-05,1.96550,
1989-06,1.97050,
1989-07,1.96300,
1989-08,1.97300,
1989-09,1.97100,
1989-10,1.96550,
1989-11,1.95800,
1989-12,1.90900,
1990-01,1.87500,
1990-02,1.87700,
1990-03,1.89250,
1990-04,1.88450,
1990-05,1.85700,
1990-06,1.84600,
1990-07,1.81850,
1990-08,1.77600,
1990-09,1.76900,
1990-10,1.71700,
1990-11,1.72650,
1990-12,1.75100,
1991-01,1.74050,
1991-02,1.73300,
1991-03,1.79900,
1991-04,1.78300,
1991-05,1.77400,
1991-06,1.77600,
1991-07,1.75800,
1991-08,1.73100,
1991-09,1.69900,
1991-10,1.69900,
1991-11,1.67050,
1991-12,1.64000,
1992-01,1.64200,
1992-02,1.64800,
1992-03,1.66600,
1992-04,1.66400,
1992-05,1.64100,
1992-06,1.62650,
1992-07,1.62050,
1992-08,1.60600,
1992-09,1.59900,
1992-10,1.62400,
1992-11,1.64400,
1992-12,1.64950,
1993-01,1.64700,
1993-02,1.65250,
1993-03,1.64750,
1993-04,1.62050,
1993-05,1.61500,
1993-06,1.62950,
1993-07,1.62450,
1993-08,1.61300,
1993-09,1.59500,
1993-10,1.59150,
1993-11,1.61050,
1993-12,1.61450,
1994-01,1.60300,
1994-02,1.59200,
1994-03,1.57600,
1994-04,1.56100,
1994-05,1.54100,
1994-06,1.53100,
1994-07,1.51850,
1994-08,1.50750,
1994-09,1.49300,
1994-10,1.48100,
1994-11,1.47000,
1994-12,1.47000,
1995-01,1.45950,
1995-02,1.45900,
1995-03,1.42850,
1995-04,1.40150,
1995-05,1.39850,
1995-06,1.40450,
1995-07,1.40200,
1995-08,1.43400,
1995-09,1.42950,
1995-10,1.42500,
1995-11,1.42050,
1995-12,1.42050,
1996-01,1.42850,
1996-02,1.42100,
1996-03,1.41550,
1996-04,1.41450,
1996-05,1.41850,
1996-06,1.41850,
1996-07,1.42200,
1996-08,1.41500,
1996-09,1.41500,
1996-10,1.41650,
1996-11,1.41000,
1996-12,1.40750,
1997-01,1.41450,
1997-02,1.43200,
1997-03,1.45150,
1997-04,1.45400,
1997-05,1.43700,
1997-06,1.43700,
1997-07,1.47900,
1997-08,1.54600,
1997-09,1.53600,
1997-10,1.60050,
1997-11,1.60300,
1997-12,1.68700,
1998-01,1.76350,
1998-02,1.63100,
1998-03,1.62550,
1998-04,1.60550,
1998-05,1.69800,
1998-06,1.72650,
1998-07,1.74250,
1998-08,1.79590,
1998-09,1.70400,
1998-10,1.63800,
1998-11,1.66750,
1998-12,1.67400,
1999-01,1.70500,
1999-02,1.73830,
1999-03,1.74200,
1999-04,1.70500,
1999-05,1.74000,
1999-06,1.71400,
1999-07,1.70050,
1999-08,1.69650,
1999-09,1.70350,
1999-10,1.68000,
1999-11,1.69300,
1999-12,1.67650,
2000-01,1.71300,
2000-02,1.72400,
2000-03,1.72900,
2000-04,1.71500,
2000-05,1.74000,
2000-06,1.73800,
2000-07,1.74400,
2000-08,1.73000,
2000-09,1.75000,
2000-10,1.76450,
2000-11,1.76900,
2000-12,1.74290,
2001-01,1.75400,
2001-02,1.75150,
2001-03,1.80950,
2001-04,1.82900,
2001-05,1.82000,
2001-06,1.83000,
2001-07,1.81400,
2001-08,1.75000,
2001-09,1.77500,
2001-10,1.83250,
2001-11,1.84150,
2001-12,1.86580,
2002-01,1.84880,
2002-02,1.85030,
2002-03,1.85730,
2002-04,1.82470,
2002-05,1.80050,
2002-06,1.78050,
2002-07,1.78130,
2002-08,1.76450,
2002-09,1.79370,
2002-10,1.78440,
2002-11,1.77740,
2002-12,1.75000,
2003-01,1.75390,
2003-02,1.75145,
2003-03,1.78105,
2003-04,1.78930,
2003-05,1.74400,
2003-06,1.77260,
2003-07,1.77300,
2003-08,1.77030,
2003-09,1.74475,
2003-10,1.75265,
2003-11,1.73990,
2003-12,1.71780,
2004-01,1.71540,
2004-02,1.71365,
2004-03,1.69550,
2004-04,1.71985,
2004-05,1.71355,
2004-06,1.73050,
2004-07,1.73460,
2004-08,1.72900,
2004-09,1.70555,
2004-10,1.67860,
2004-11,1.65670,
2004-12,1.65550,
2005-01,1.65230,
2005-02,1.64160,
2005-03,1.66325,
2005-04,1.65740,
2005-05,1.67595,
2005-06,1.70090,
2005-07,1.67670,
2005-08,1.70005,
2005-09,1.70470,
2005-10,1.70690,
2005-11,1.70880,
2005-12,1.67825,
2006-01,1.64040,
2006-02,1.63835,
2006-03,1.63310,
2006-04,1.59860,
2006-05,1.59295,
2006-06,1.60520,
2006-07,1.59520,
2006-08,1.58905,
2006-09,1.60260,
2006-10,1.57775,
2006-11,1.56045,
2006-12,1.55055,
"","General: Under an agreement between Singapore and Brunei Darussalam, the Brunei dollar (convertible at par) is also accepted as legal tender.",
"","Source: December 2001 - December 2006 Deutsche Bank, Singapore Branch 1997 - November 2001 BHF-Bank, Singapore Branch 1989 - 1996 The Hongkong and Shanghai Banking Corporation, Singapore",
