"",BBFB1.Q.N.DE.DK.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:10,
1991-01,122.773,
1991-04,-155.716,
1991-07,-280.916,
1991-10,-36.970,
1992-01,365.434,
1992-04,540.688,
1992-07,202.575,
1992-10,-1294.908,
1993-01,-258.142,
1993-04,144.418,
1993-07,-847.720,
1993-10,158.949,
1994-01,-524.014,
1994-04,113.619,
1994-07,-31.285,
1994-10,307.117,
1995-01,79.829,
1995-04,-1.630,
1995-07,424.978,
1995-10,514.234,
1996-01,569.560,
1996-04,563.003,
1996-07,299.305,
1996-10,517.626,
1997-01,652.377,
1997-04,341.241,
1997-07,-313.108,
1997-10,670.212,
1998-01,281.598,
1998-04,-431.412,
1998-07,604.605,
1998-10,1982.177,
1999-01,2975.836,
1999-04,12702.116,
1999-07,-1792.689,
1999-10,-8477.690,
2000-01,3897.973,
2000-04,-2728.697,
2000-07,-825.924,
2000-10,3546.275,
2001-01,3419.519,
2001-04,772.024,
2001-07,2177.500,
2001-10,869.083,
2002-01,1857.711,
2002-04,-784.090,
2002-07,-563.063,
2002-10,2089.369,
2003-01,-114.198,
2003-04,2498.770,
2003-07,-30.835,
2003-10,1541.092,
2004-01,-1685.583,
2004-04,805.263,
2004-07,1121.596,
2004-10,1916.799,
2005-01,3483.375,
2005-04,1445.034,
2005-07,2367.325,
2005-10,1767.526,
2006-01,1825.788,
2006-04,3308.873,
2006-07,2026.898,
2006-10,8644.360,
2007-01,-2855.473,
2007-04,5771.329,
2007-07,-5706.950,
2007-10,7594.749,
2008-01,-7286.876,
2008-04,4008.133,
2008-07,2076.708,
2008-10,-665.533,
2009-01,-6764.796,
2009-04,8981.403,
2009-07,1604.444,
2009-10,9132.340,
2010-01,-1041.746,
2010-04,-1343.894,
2010-07,-5956.297,
2010-10,-1944.081,
2011-01,-5255.808,
2011-04,-6764.890,
2011-07,-2179.120,
2011-10,3816.597,
2012-01,215.611,
2012-04,5647.873,
2012-07,884.668,
2012-10,2013.526,
2013-01,1624.733,
2013-04,-2548.264,
2013-07,1849.498,
2013-10,1931.605,
2014-01,4122.738,Provisional value
2014-04,-1448.761,Provisional value
2014-07,293.234,Provisional value
2014-10,2832.497,Provisional value
