"",BBK01.OELB08G,BBK01.OELB08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:14,
2002-01,53.955,
2002-04,54.071,
2002-07,54.464,
2002-10,55.086,
2003-01,54.584,
2003-04,54.899,
2003-07,55.473,
2003-10,56.329,
2004-01,56.081,
2004-04,56.586,
2004-07,57.221,
2004-10,56.640,
2005-01,56.318,
2005-04,56.919,
2005-07,57.627,
2005-10,58.702,
2006-01,58.926,
2006-04,59.622,
2006-07,60.375,
2006-10,61.012,
2007-01,61.058,
2007-04,61.547,
2007-07,62.222,
2007-10,63.246,
2008-01,63.301,
2008-04,63.861,
2008-07,64.642,
2008-10,65.096,
2009-01,65.067,
2009-04,65.656,
2009-07,66.536,
2009-10,67.584,
2010-01,67.601,
2010-04,68.429,
2010-07,69.369,
2010-10,70.254,
2011-01,70.605,
2011-04,71.455,
2011-07,72.211,
2011-10,73.170,
2012-01,73.430,
2012-04,76.778,
2012-07,78.232,
2012-10,79.268,
2013-01,79.692,
2013-04,80.788,
2013-07,82.114,
2013-10,83.161,
2014-01,83.486,
2014-04,84.466,
2014-07,85.539,
