"",BBK01.OEAH34J,BBK01.OEAH34J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:07,
2002-01,0.001,
2002-04,0.005,
2002-07,0.004,
2002-10,0.004,
2003-01,0.004,
2003-04,-,Nothing exists
2003-07,0.006,
2003-10,0.007,
2004-01,0.044,
2004-04,0.051,
2004-07,0.069,
2004-10,0.066,
2005-01,0.077,
2005-04,0.081,
2005-07,0.068,
2005-10,0.055,
2006-01,0.024,
2006-04,0.047,
2006-07,0.062,
2006-10,0.057,
2007-01,0.053,
2007-04,0.047,
2007-07,0.071,
2007-10,0.079,
2008-01,0.081,
2008-04,0.102,
2008-07,0.159,
2008-10,0.160,
2009-01,0.231,
2009-04,0.231,
2009-07,0.180,
2009-10,0.157,
2010-01,0.103,
2010-04,0.018,
2010-07,0.072,
2010-10,0.077,
2011-01,0.041,
2011-04,0.034,
2011-07,0.037,
2011-10,0.047,
2012-01,0.063,
2012-04,0.071,
2012-07,0.076,
2012-10,0.058,
2013-01,0.065,
2013-04,0.068,
2013-07,0.063,
2013-10,0.051,
2014-01,0.093,
2014-04,0.086,
2014-07,0.089,
