"",BBK01.OEAF26R,BBK01.OEAF26R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:44,
2002-01,0.147,
2002-04,0.144,
2002-07,0.142,
2002-10,0.162,
2003-01,0.161,
2003-04,0.164,
2003-07,0.161,
2003-10,0.155,
2004-01,0.146,
2004-04,0.143,
2004-07,0.139,
2004-10,0.137,
2005-01,0.140,
2005-04,0.143,
2005-07,0.144,
2005-10,0.145,
2006-01,0.146,
2006-04,0.152,
2006-07,0.155,
2006-10,0.156,
2007-01,0.153,
2007-04,0.152,
2007-07,0.156,
2007-10,0.153,
2008-01,0.151,
2008-04,0.151,
2008-07,0.146,
2008-10,0.145,
2009-01,0.148,
2009-04,0.149,
2009-07,0.146,
2009-10,0.142,
2010-01,0.139,
2010-04,0.149,
2010-07,0.147,
2010-10,0.145,
2011-01,0.144,
2011-04,0.145,
2011-07,0.142,
2011-10,0.133,
2012-01,0.128,
2012-04,0.132,
2012-07,0.144,
2012-10,0.144,
2013-01,0.143,
2013-04,0.146,
2013-07,0.153,
2013-10,0.148,
2014-01,0.152,
2014-04,0.152,
2014-07,0.152,
