"",BBDE1.M.DE.Y.AEM1.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AEM1.A2P300000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, total / At constant prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:54,
2010-01,90.5,
2010-02,92.3,
2010-03,96.1,
2010-04,98.6,
2010-05,99.3,
2010-06,99.7,
2010-07,101.0,
2010-08,102.1,
2010-09,102.0,
2010-10,103.0,
2010-11,105.8,
2010-12,105.1,
2011-01,109.2,
2011-02,108.5,
2011-03,107.6,
2011-04,107.0,
2011-05,105.9,
2011-06,105.3,
2011-07,107.8,
2011-08,107.2,
2011-09,105.4,
2011-10,105.1,
2011-11,103.4,
2011-12,104.0,
2012-01,104.2,
2012-02,104.3,
2012-03,104.6,
2012-04,104.3,
2012-05,105.3,
2012-06,102.7,
2012-07,103.9,
2012-08,102.5,
2012-09,101.6,
2012-10,103.0,
2012-11,101.9,
2012-12,103.1,
2013-01,102.3,
2013-02,102.9,
2013-03,104.4,
2013-04,104.2,
2013-05,103.4,
2013-06,105.1,
2013-07,104.6,
2013-08,105.7,
2013-09,106.4,
2013-10,106.8,
2013-11,107.4,
2013-12,106.6,
2014-01,109.3,
2014-02,109.0,
2014-03,107.7,
2014-04,108.9,
2014-05,105.4,
2014-06,106.8,
2014-07,108.4,
2014-08,104.9,
2014-09,107.4,
2014-10,110.7,
2014-11,109.4,
2014-12,111.6,Provisional value
