"",BBDE1.M.DE.Y.GUA1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.GUA1.A2P300000.F.V.I10.A_FLAGS
"",Turnover / At current prices / Germany / Industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:46,
1991-01,69.1,
1991-02,67.9,
1991-03,68.0,
1991-04,67.7,
1991-05,67.5,
1991-06,68.9,
1991-07,67.8,
1991-08,67.0,
1991-09,67.4,
1991-10,68.9,
1991-11,70.5,
1991-12,68.9,
1992-01,69.7,
1992-02,70.3,
1992-03,69.3,
1992-04,69.5,
1992-05,69.1,
1992-06,68.4,
1992-07,67.0,
1992-08,67.2,
1992-09,67.9,
1992-10,66.7,
1992-11,66.3,
1992-12,67.2,
1993-01,63.9,
1993-02,63.8,
1993-03,63.7,
1993-04,63.7,
1993-05,62.7,
1993-06,62.5,
1993-07,62.0,
1993-08,64.0,
1993-09,63.7,
1993-10,63.3,
1993-11,63.0,
1993-12,64.6,
1994-01,63.1,
1994-02,63.8,
1994-03,64.2,
1994-04,64.8,
1994-05,64.8,
1994-06,65.1,
1994-07,65.4,
1994-08,64.9,
1994-09,67.1,
1994-10,68.2,
1994-11,69.0,
1994-12,69.7,
1995-01,68.0,
1995-02,69.4,
1995-03,69.0,
1995-04,68.7,
1995-05,69.4,
1995-06,69.4,
1995-07,68.0,
1995-08,68.0,
1995-09,69.1,
1995-10,67.6,
1995-11,67.8,
1995-12,68.9,
1996-01,68.0,
1996-02,66.4,
1996-03,67.4,
1996-04,68.3,
1996-05,68.2,
1996-06,68.7,
1996-07,67.9,
1996-08,68.3,
1996-09,70.1,
1996-10,69.1,
1996-11,70.2,
1996-12,70.5,
1997-01,69.0,
1997-02,69.5,
1997-03,71.0,
1997-04,70.4,
1997-05,70.7,
1997-06,72.5,
1997-07,73.9,
1997-08,72.3,
1997-09,73.2,
1997-10,73.2,
1997-11,74.4,
1997-12,75.3,
1998-01,73.9,
1998-02,74.6,
1998-03,75.9,
1998-04,74.8,
1998-05,75.6,
1998-06,76.4,
1998-07,76.2,
1998-08,75.2,
1998-09,74.5,
1998-10,74.8,
1998-11,73.4,
1998-12,75.2,
1999-01,74.6,
1999-02,73.3,
1999-03,75.7,
1999-04,74.1,
1999-05,75.0,
1999-06,76.2,
1999-07,76.7,
1999-08,77.2,
1999-09,78.6,
1999-10,78.3,
1999-11,78.3,
1999-12,80.2,
2000-01,78.2,
2000-02,80.1,
2000-03,81.0,
2000-04,81.5,
2000-05,83.6,
2000-06,84.2,
2000-07,84.3,
2000-08,85.7,
2000-09,85.5,
2000-10,85.8,
2000-11,86.2,
2000-12,86.5,
2001-01,86.3,
2001-02,87.5,
2001-03,86.9,
2001-04,85.7,
2001-05,86.2,
2001-06,86.0,
2001-07,84.3,
2001-08,86.7,
2001-09,85.8,
2001-10,84.0,
2001-11,83.0,
2001-12,83.4,
2002-01,84.1,
2002-02,84.0,
2002-03,83.7,
2002-04,83.5,
2002-05,83.4,
2002-06,83.8,
2002-07,83.5,
2002-08,85.8,
2002-09,85.1,
2002-10,84.2,
2002-11,85.0,
2002-12,85.3,
2003-01,83.8,
2003-02,83.9,
2003-03,84.3,
2003-04,84.7,
2003-05,82.7,
2003-06,82.4,
2003-07,85.2,
2003-08,82.4,
2003-09,83.5,
2003-10,84.4,
2003-11,85.5,
2003-12,87.7,
2004-01,85.0,
2004-02,86.9,
2004-03,86.6,
2004-04,88.3,
2004-05,88.2,
2004-06,89.3,
2004-07,89.6,
2004-08,88.6,
2004-09,89.4,
2004-10,89.3,
2004-11,88.8,
2004-12,90.2,
2005-01,91.3,
2005-02,89.4,
2005-03,91.3,
2005-04,90.4,
2005-05,90.0,
2005-06,91.6,
2005-07,92.6,
2005-08,92.0,
2005-09,94.6,
2005-10,94.8,
2005-11,95.4,
2005-12,95.3,
2006-01,95.4,
2006-02,97.2,
2006-03,96.3,
2006-04,99.2,
2006-05,99.6,
2006-06,99.9,
2006-07,100.6,
2006-08,101.3,
2006-09,102.5,
2006-10,102.9,
2006-11,105.1,
2006-12,104.3,
2007-01,105.8,
2007-02,106.3,
2007-03,106.8,
2007-04,106.2,
2007-05,108.0,
2007-06,107.3,
2007-07,108.1,
2007-08,108.2,
2007-09,109.8,
2007-10,110.4,
2007-11,110.2,
2007-12,110.8,
2008-01,113.9,
2008-02,113.6,
2008-03,112.4,
2008-04,112.8,
2008-05,111.1,
2008-06,111.1,
2008-07,109.2,
2008-08,112.5,
2008-09,109.8,
2008-10,108.8,
2008-11,103.3,
2008-12,97.6,
2009-01,88.0,
2009-02,84.6,
2009-03,86.1,
2009-04,83.8,
2009-05,86.3,
2009-06,88.0,
2009-07,87.1,
2009-08,87.8,
2009-09,91.5,
2009-10,90.0,
2009-11,90.8,
2009-12,91.5,
2010-01,91.2,
2010-02,91.6,
2010-03,94.2,
2010-04,95.9,
2010-05,99.5,
2010-06,100.4,
2010-07,98.9,
2010-08,100.6,
2010-09,101.6,
2010-10,104.9,
2010-11,105.5,
2010-12,107.1,
2011-01,106.5,
2011-02,107.6,
2011-03,108.7,
2011-04,109.4,
2011-05,109.3,
2011-06,109.2,
2011-07,112.0,
2011-08,111.5,
2011-09,110.8,
2011-10,110.9,
2011-11,110.0,
2011-12,108.7,
2012-01,109.7,
2012-02,111.2,
2012-03,111.6,
2012-04,109.8,
2012-05,112.2,
2012-06,110.7,
2012-07,111.6,
2012-08,112.0,
2012-09,110.0,
2012-10,109.0,
2012-11,108.2,
2012-12,108.8,
2013-01,107.7,
2013-02,108.3,
2013-03,110.4,
2013-04,110.8,
2013-05,110.3,
2013-06,109.6,
2013-07,108.9,
2013-08,111.0,
2013-09,111.0,
2013-10,111.0,
2013-11,113.3,
2013-12,112.7,
2014-01,114.7,
2014-02,113.3,
2014-03,112.6,
2014-04,113.0,
2014-05,111.8,
2014-06,113.2,
2014-07,114.0,
2014-08,112.7,
2014-09,112.7,
2014-10,114.2,
2014-11,113.9,
2014-12,114.6,Provisional value
