"",BBK01.CELEC3,BBK01.CELEC3_FLAGS
"",short-term loans                                              debtor: General government                         creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:16,
1999-01,3.5,
1999-04,1.0,
1999-07,0.3,
1999-10,-3.8,
2000-01,6.9,
2000-04,-6.9,
2000-07,11.6,
2000-10,-15.1,
2001-01,14.6,
2001-04,-10.7,
2001-07,1.3,
2001-10,2.2,
2002-01,16.8,
2002-04,-16.4,
2002-07,-2.4,
2002-10,5.5,
2003-01,5.1,
2003-04,0.0,
2003-07,8.7,
2003-10,-4.6,
2004-01,12.1,
2004-04,-10.3,
2004-07,3.0,
2004-10,-7.6,
2005-01,3.9,
2005-04,2.0,
2005-07,-1.3,
2005-10,-3.7,
2006-01,5.6,
2006-04,-3.0,
2006-07,1.6,
2006-10,-2.6,
2007-01,4.4,
2007-04,-1.4,
2007-07,-0.1,
2007-10,-0.1,
2008-01,3.7,
2008-04,1.1,
2008-07,0.1,
2008-10,6.2,
2009-01,-0.5,
2009-04,-3.9,
2009-07,5.1,
2009-10,-3.6,
2010-01,5.4,
2010-04,12.1,
2010-07,-1.0,
2010-10,61.6,
2011-01,-4.6,
2011-04,-14.8,
2011-07,-8.0,
2011-10,-19.0,
2012-01,10.5,
2012-04,16.3,
2012-07,5.5,
2012-10,-15.9,
2013-01,-8.4,
2013-04,-12.9,
2013-07,-6.2,
2013-10,5.5,
2014-01,-5.3,
2014-04,-2.8,
2014-07,3.6,
