"",BBK01.OEAF22U,BBK01.OEAF22U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:23,
2002-01,0.430,
2002-04,0.427,
2002-07,0.419,
2002-10,0.589,
2003-01,0.618,
2003-04,0.656,
2003-07,0.691,
2003-10,0.699,
2004-01,0.720,
2004-04,0.735,
2004-07,0.743,
2004-10,0.740,
2005-01,0.744,
2005-04,0.728,
2005-07,0.804,
2005-10,0.796,
2006-01,0.800,
2006-04,0.818,
2006-07,0.824,
2006-10,0.824,
2007-01,0.768,
2007-04,0.722,
2007-07,0.680,
2007-10,0.631,
2008-01,0.584,
2008-04,0.548,
2008-07,0.510,
2008-10,0.472,
2009-01,0.448,
2009-04,0.426,
2009-07,0.413,
2009-10,0.394,
2010-01,0.382,
2010-04,0.393,
2010-07,0.385,
2010-10,0.375,
2011-01,0.372,
2011-04,0.371,
2011-07,0.372,
2011-10,0.354,
2012-01,0.351,
2012-04,0.357,
2012-07,0.348,
2012-10,0.343,
2013-01,0.330,
2013-04,0.333,
2013-07,0.344,
2013-10,0.339,
2014-01,0.333,
2014-04,0.336,
2014-07,0.332,
