"",BBK01.OELO01N,BBK01.OELO01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:25,
2002-01,33.835,
2002-04,33.679,
2002-07,33.456,
2002-10,33.450,
2003-01,34.195,
2003-04,34.528,
2003-07,34.487,
2003-10,34.248,
2004-01,34.738,
2004-04,34.753,
2004-07,34.724,
2004-10,34.591,
2005-01,35.065,
2005-04,34.959,
2005-07,34.712,
2005-10,34.455,
2006-01,34.768,
2006-04,35.115,
2006-07,35.216,
2006-10,34.878,
2007-01,34.617,
2007-04,33.625,
2007-07,32.787,
2007-10,32.059,
2008-01,31.820,
2008-04,30.835,
2008-07,29.975,
2008-10,28.824,
2009-01,29.315,
2009-04,30.647,
2009-07,32.126,
2009-10,33.555,
2010-01,35.551,
2010-04,37.028,
2010-07,37.718,
2010-10,38.151,
2011-01,38.433,
2011-04,38.338,
2011-07,38.092,
2011-10,37.700,
2012-01,37.731,
2012-04,37.424,
2012-07,37.198,
2012-10,37.183,
2013-01,37.466,
2013-04,37.507,
2013-07,37.253,
2013-10,37.181,
2014-01,37.387,
2014-04,37.402,
2014-07,37.235,
