"",BBK01.OEHJ07M,BBK01.OEHJ07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:52,
2002-01,0.187,
2002-04,0.190,
2002-07,0.184,
2002-10,0.183,
2003-01,0.185,
2003-04,0.184,
2003-07,0.187,
2003-10,0.203,
2004-01,0.207,
2004-04,0.190,
2004-07,0.208,
2004-10,0.210,
2005-01,0.214,
2005-04,0.220,
2005-07,0.221,
2005-10,0.233,
2006-01,0.222,
2006-04,0.227,
2006-07,0.232,
2006-10,0.222,
2007-01,0.211,
2007-04,0.208,
2007-07,0.198,
2007-10,0.198,
2008-01,0.186,
2008-04,0.185,
2008-07,0.182,
2008-10,0.181,
2009-01,0.215,
2009-04,0.226,
2009-07,0.183,
2009-10,0.169,
2010-01,0.177,
2010-04,0.166,
2010-07,0.172,
2010-10,0.184,
2011-01,0.193,
2011-04,0.190,
2011-07,0.183,
2011-10,0.185,
2012-01,0.187,
2012-04,0.180,
2012-07,0.185,
2012-10,0.183,
2013-01,0.191,
2013-04,0.199,
2013-07,0.191,
2013-10,0.189,
2014-01,0.188,
2014-04,0.185,
2014-07,0.175,
