"",BBK01.OEAF18G,BBK01.OEAF18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:47,
2002-01,0.102,
2002-04,0.118,
2002-07,0.106,
2002-10,0.131,
2003-01,0.144,
2003-04,0.155,
2003-07,0.105,
2003-10,0.115,
2004-01,0.134,
2004-04,0.106,
2004-07,0.136,
2004-10,0.101,
2005-01,0.122,
2005-04,0.108,
2005-07,0.107,
2005-10,0.088,
2006-01,0.104,
2006-04,0.105,
2006-07,0.104,
2006-10,0.097,
2007-01,0.102,
2007-04,0.100,
2007-07,0.081,
2007-10,0.077,
2008-01,0.111,
2008-04,0.097,
2008-07,0.078,
2008-10,0.077,
2009-01,0.081,
2009-04,0.086,
2009-07,0.076,
2009-10,0.085,
2010-01,0.082,
2010-04,0.079,
2010-07,0.071,
2010-10,0.077,
2011-01,0.081,
2011-04,0.081,
2011-07,0.088,
2011-10,0.084,
2012-01,0.084,
2012-04,0.082,
2012-07,0.079,
2012-10,0.114,
2013-01,0.126,
2013-04,0.108,
2013-07,0.081,
2013-10,0.086,
2014-01,0.080,
2014-04,0.069,
2014-07,0.058,
