"",BBDE1.M.DE.Y.AEP5.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEP5.A2P310000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, non-euro-area countries / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:12,
2010-01,92.7,
2010-02,96.3,
2010-03,96.7,
2010-04,99.7,
2010-05,99.1,
2010-06,99.8,
2010-07,102.1,
2010-08,101.3,
2010-09,98.3,
2010-10,100.6,
2010-11,104.9,
2010-12,105.9,
2011-01,105.0,
2011-02,104.7,
2011-03,106.6,
2011-04,103.9,
2011-05,102.4,
2011-06,105.1,
2011-07,104.6,
2011-08,101.2,
2011-09,99.7,
2011-10,99.4,
2011-11,97.0,
2011-12,111.4,
2012-01,103.0,
2012-02,105.3,
2012-03,100.0,
2012-04,101.2,
2012-05,104.6,
2012-06,101.3,
2012-07,100.9,
2012-08,103.1,
2012-09,98.9,
2012-10,102.1,
2012-11,100.2,
2012-12,99.7,
2013-01,99.3,
2013-02,99.5,
2013-03,99.6,
2013-04,103.1,
2013-05,101.6,
2013-06,97.2,
2013-07,103.3,
2013-08,100.2,
2013-09,103.9,
2013-10,108.1,
2013-11,102.8,
2013-12,101.6,
2014-01,105.6,
2014-02,109.1,
2014-03,102.2,
2014-04,105.8,
2014-05,102.4,
2014-06,107.5,
2014-07,107.6,
2014-08,103.5,
2014-09,109.3,
2014-10,106.7,
2014-11,112.4,
2014-12,108.9,Provisional value
