"",BBFB1.Q.N.DE.1A.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:55,
1991-01,24.094,
1991-04,84.881,
1991-07,86.855,
1991-10,123.842,
1992-01,27.448,
1992-04,158.306,
1992-07,36.270,
1992-10,65.951,
1993-01,30.519,
1993-04,67.267,
1993-07,150.597,
1993-10,95.555,
1994-01,46.833,
1994-04,81.630,
1994-07,99.756,
1994-10,65.650,
1995-01,38.145,
1995-04,54.825,
1995-07,63.772,
1995-10,109.693,
1996-01,65.046,
1996-04,36.092,
1996-07,61.197,
1996-10,67.949,
1997-01,27.518,
1997-04,35.448,
1997-07,38.318,
1997-10,36.039,
1998-01,29.536,
1998-04,21.050,
1998-07,7.579,
1998-10,51.754,
1999-01,8.179,
1999-04,44.840,
1999-07,37.920,
1999-10,12.915,
2000-01,39.515,
2000-04,51.409,
2000-07,41.937,
2000-10,8.227,
2001-01,28.710,
2001-04,1.649,
2001-07,10.288,
2001-10,26.876,
2002-01,7.698,
2002-04,21.254,
2002-07,46.609,
2002-10,29.339,
2003-01,96.528,
2003-04,89.715,
2003-07,15.989,
2003-10,63.159,
2004-01,75.284,
2004-04,63.102,
2004-07,87.843,
2004-10,110.009,
2005-01,87.293,
2005-04,58.557,
2005-07,103.643,
2005-10,119.202,
2006-01,77.443,
2006-04,127.433,
2006-07,112.932,
2006-10,121.906,
2007-01,102.723,
2007-04,85.342,
2007-07,166.568,
2007-10,146.068,
2008-01,170.759,
2008-04,186.134,
2008-07,179.655,
2008-10,234.702,
2009-01,156.463,
2009-04,177.657,
2009-07,197.786,
2009-10,192.825,
2010-01,186.354,
2010-04,144.221,
2010-07,259.059,
2010-10,215.680,
2011-01,206.797,
2011-04,192.211,
2011-07,208.298,
2011-10,235.009,
2012-01,165.188,
2012-04,175.696,
2012-07,213.758,
2012-10,229.333,
2013-01,146.744,
2013-04,174.492,
2013-07,234.301,
2013-10,187.630,
2014-01,175.647,Provisional value
2014-04,178.679,Provisional value
2014-07,228.299,Provisional value
