"",BBK01.OELB07L,BBK01.OELB07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:56,
2002-01,3.910,
2002-04,3.875,
2002-07,3.860,
2002-10,3.611,
2003-01,3.375,
2003-04,3.286,
2003-07,3.222,
2003-10,3.176,
2004-01,3.174,
2004-04,3.126,
2004-07,3.200,
2004-10,3.105,
2005-01,3.012,
2005-04,2.984,
2005-07,2.955,
2005-10,2.877,
2006-01,2.795,
2006-04,2.770,
2006-07,2.710,
2006-10,2.622,
2007-01,2.410,
2007-04,2.229,
2007-07,2.213,
2007-10,2.181,
2008-01,2.124,
2008-04,2.103,
2008-07,2.088,
2008-10,2.022,
2009-01,2.078,
2009-04,2.051,
2009-07,2.042,
2009-10,2.029,
2010-01,2.004,
2010-04,1.783,
2010-07,1.872,
2010-10,1.842,
2011-01,1.841,
2011-04,1.890,
2011-07,1.897,
2011-10,1.843,
2012-01,1.840,
2012-04,2.017,
2012-07,2.056,
2012-10,2.105,
2013-01,2.102,
2013-04,2.124,
2013-07,2.218,
2013-10,2.237,
2014-01,2.234,
2014-04,2.290,
2014-07,2.298,
