"",BBFN1.M.DE.N.1.L.US.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / United States,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:48,
1968-01,.,No value available
1968-02,.,No value available
1968-03,.,No value available
1968-04,.,No value available
1968-05,.,No value available
1968-06,.,No value available
1968-07,.,No value available
1968-08,.,No value available
1968-09,.,No value available
1968-10,.,No value available
1968-11,.,No value available
1968-12,0.423,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.654,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,1.022,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,1.014,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.484,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.372,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.331,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.318,
1976-01,0.333,
1976-02,0.336,
1976-03,0.432,
1976-04,0.446,
1976-05,0.463,
1976-06,0.441,
1976-07,0.454,
1976-08,0.486,
1976-09,0.403,
1976-10,0.508,
1976-11,0.503,
1976-12,0.614,
1977-01,0.655,
1977-02,0.662,
1977-03,0.686,
1977-04,0.661,
1977-05,0.755,
1977-06,0.742,
1977-07,0.693,
1977-08,0.869,
1977-09,1.026,
1977-10,1.056,
1977-11,1.165,
1977-12,1.199,
1978-01,1.318,
1978-02,1.347,
1978-03,1.089,
1978-04,0.955,
1978-05,0.927,
1978-06,0.936,
1978-07,1.011,
1978-08,0.811,
1978-09,0.972,
1978-10,0.952,
1978-11,0.948,
1978-12,0.959,
1979-01,0.927,
1979-02,0.850,
1979-03,0.810,
1979-04,0.849,
1979-05,0.804,
1979-06,0.830,
1979-07,0.742,
1979-08,0.954,
1979-09,0.748,
1979-10,1.010,
1979-11,1.078,
1979-12,0.870,
1980-01,0.971,
1980-02,1.052,
1980-03,1.139,
1980-04,1.046,
1980-05,1.176,
1980-06,1.167,
1980-07,1.142,
1980-08,1.282,
1980-09,1.160,
1980-10,1.195,
1980-11,1.188,
1980-12,1.248,
1981-01,1.018,
1981-02,0.962,
1981-03,1.128,
1981-04,1.247,
1981-05,1.269,
1981-06,1.262,
1981-07,1.462,
1981-08,1.346,
1981-09,1.236,
1981-10,1.327,
1981-11,1.342,
1981-12,1.372,
1982-01,1.402,
1982-02,1.443,
1982-03,1.539,
1982-04,1.479,
1982-05,1.437,
1982-06,1.541,
1982-07,1.648,
1982-08,1.761,
1982-09,1.826,
1982-10,1.874,
1982-11,1.984,
1982-12,1.707,
1983-01,1.760,
1983-02,1.983,
1983-03,1.759,
1983-04,1.800,
1983-05,1.743,
1983-06,1.817,
1983-07,1.948,
1983-08,2.127,
1983-09,1.980,
1983-10,1.964,
1983-11,2.226,
1983-12,2.211,
1984-01,1.887,
1984-02,1.863,
1984-03,1.836,
1984-04,1.831,
1984-05,1.963,
1984-06,2.476,
1984-07,2.313,
1984-08,2.375,
1984-09,2.484,
1984-10,2.064,
1984-11,2.037,
1984-12,2.107,
1985-01,2.043,
1985-02,2.340,
1985-03,2.317,
1985-04,2.484,
1985-05,2.458,
1985-06,2.735,
1985-07,2.623,
1985-08,2.714,
1985-09,2.148,
1985-10,2.058,
1985-11,2.374,
1985-12,2.381,
1986-01,2.145,
1986-02,2.186,
1986-03,2.417,
1986-04,2.515,
1986-05,2.511,
1986-06,2.410,
1986-07,2.363,
1986-08,2.334,
1986-09,1.763,
1986-10,2.767,
1986-11,2.754,
1986-12,2.362,
1987-01,2.325,
1987-02,2.189,
1987-03,2.191,
1987-04,1.927,
1987-05,2.028,
1987-06,2.024,
1987-07,1.976,
1987-08,2.077,
1987-09,1.729,
1987-10,1.637,
1987-11,1.578,
1987-12,1.662,
1988-01,1.929,
1988-02,1.704,
1988-03,1.792,
1988-04,1.804,
1988-05,1.833,
1988-06,1.818,
1988-07,1.947,
1988-08,1.876,
1988-09,1.987,
1988-10,2.041,
1988-11,2.024,
1988-12,1.773,
1989-01,1.889,
1989-02,2.067,
1989-03,2.061,
1989-04,1.964,
1989-05,2.182,
1989-06,2.734,
1989-07,2.443,
1989-08,2.725,
1989-09,3.044,
1989-10,2.919,
1989-11,2.854,
1989-12,3.022,
1990-01,2.992,
1990-02,2.971,
1990-03,2.895,
1990-04,3.242,
1990-05,3.049,
1990-06,2.272,
1990-07,1.828,
1990-08,1.897,
1990-09,1.850,
1990-10,2.011,
1990-11,2.198,
1990-12,2.888,
1991-01,2.942,
1991-02,2.905,
1991-03,2.850,
1991-04,2.992,
1991-05,3.022,
1991-06,3.909,
1991-07,4.471,
1991-08,4.358,
1991-09,3.967,
1991-10,4.309,
1991-11,4.377,
1991-12,4.727,
1992-01,3.668,
1992-02,3.581,
1992-03,3.394,
1992-04,3.717,
1992-05,3.673,
1992-06,3.559,
1992-07,3.411,
1992-08,3.806,
1992-09,3.765,
1992-10,4.229,
1992-11,4.195,
1992-12,4.014,
1993-01,4.126,
1993-02,3.771,
1993-03,4.306,
1993-04,4.427,
1993-05,4.832,
1993-06,4.677,
1993-07,4.643,
1993-08,4.677,
1993-09,4.670,
1993-10,5.036,
1993-11,4.781,
1993-12,4.705,
1994-01,4.626,
1994-02,4.645,
1994-03,4.703,
1994-04,4.823,
1994-05,5.296,
1994-06,5.468,
1994-07,5.242,
1994-08,4.824,
1994-09,4.506,
1994-10,4.712,
1994-11,4.616,
1994-12,4.550,
1995-01,4.605,
1995-02,5.070,
1995-03,4.756,
1995-04,6.768,
1995-05,6.550,
1995-06,6.374,
1995-07,5.986,
1995-08,5.692,
1995-09,5.319,
1995-10,6.223,
1995-11,6.211,
1995-12,5.791,
1996-01,6.005,
1996-02,6.619,
1996-03,6.814,
1996-04,8.804,
1996-05,8.714,
1996-06,7.634,
1996-07,6.434,
1996-08,6.723,
1996-09,6.766,
1996-10,7.737,
1996-11,7.604,
1996-12,9.592,
1997-01,11.456,
1997-02,12.482,
1997-03,13.158,
1997-04,14.623,
1997-05,13.861,
1997-06,14.052,
1997-07,12.602,
1997-08,9.792,
1997-09,11.630,
1997-10,5.968,
1997-11,8.792,
1997-12,8.838,
1998-01,9.010,
1998-02,11.234,
1998-03,15.920,
1998-04,14.428,
1998-05,16.539,
1998-06,14.059,
1998-07,11.506,
1998-08,8.394,
1998-09,12.292,
1998-10,6.254,
1998-11,10.002,
1998-12,10.247,
1999-01,12.721,
1999-02,14.579,
1999-03,18.084,
1999-04,22.065,
1999-05,24.965,
1999-06,26.058,
1999-07,18.671,
1999-08,16.674,
1999-09,15.827,
