"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.S._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.S._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Short-term debt-securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:56,
1991-01,487.314,
1991-02,97.836,
1991-03,33.738,
1991-04,219.941,
1991-05,-125.027,
1991-06,-47.771,
1991-07,-173.584,
1991-08,-23.433,
1991-09,21.354,
1991-10,119.941,
1991-11,133.267,
1991-12,13.899,
1992-01,-85.626,
1992-02,84.743,
1992-03,-50.685,
1992-04,-103.632,
1992-05,-29.052,
1992-06,-10.671,
1992-07,-24.079,
1992-08,18.816,
1992-09,112.908,
1992-10,104.760,
1992-11,277.174,
1992-12,-216.434,
1993-01,481.814,
1993-02,-68.205,
1993-03,-118.842,
1993-04,-65.994,
1993-05,-35.330,
1993-06,-273.648,
1993-07,75.632,
1993-08,166.815,
1993-09,228.836,
1993-10,94.386,
1993-11,307.985,
1993-12,-112.762,
1994-01,173.718,
1994-02,-264.395,
1994-03,35.860,
1994-04,-94.180,
1994-05,433.496,
1994-06,0.116,
1994-07,184.355,
1994-08,157.542,
1994-09,106.641,
1994-10,-15.793,
1994-11,393.832,
1994-12,1730.424,
1995-01,-1423.034,
1995-02,281.205,
1995-03,683.486,
1995-04,162.314,
1995-05,544.691,
1995-06,-248.025,
1995-07,-133.931,
1995-08,-15.046,
1995-09,-528.199,
1995-10,391.705,
1995-11,517.931,
1995-12,804.570,
1996-01,19.462,
1996-02,28.606,
1996-03,-744.679,
1996-04,-112.383,
1996-05,243.801,
1996-06,71.940,
1996-07,552.985,
1996-08,-635.369,
1996-09,-517.728,
1996-10,-45.884,
1996-11,-203.716,
1996-12,954.828,
1997-01,552.124,
1997-02,-124.694,
1997-03,207.148,
1997-04,-111.021,
1997-05,64.917,
1997-06,-1.837,
1997-07,476.533,
1997-08,-188.898,
1997-09,528.252,
1997-10,-857.196,
1997-11,-193.444,
1997-12,52.601,
1998-01,-831.930,
1998-02,694.292,
1998-03,1059.349,
1998-04,-724.436,
1998-05,-208.409,
1998-06,496.610,
1998-07,304.269,
1998-08,-219.419,
1998-09,-151.659,
1998-10,1819.340,
1998-11,1234.528,
1998-12,-94.240,
1999-01,1065.993,
1999-02,-959.357,
1999-03,353.414,
1999-04,106.223,
1999-05,-1508.178,
1999-06,284.300,
1999-07,31.276,
1999-08,393.177,
1999-09,781.030,
1999-10,358.918,
1999-11,-996.126,
1999-12,759.551,
2000-01,-1604.238,
2000-02,791.279,
2000-03,-904.187,
2000-04,-115.727,
2000-05,-1426.955,
2000-06,94.011,
2000-07,-537.827,
2000-08,-21.053,
