"",BBK01.OEHB14P,BBK01.OEHB14P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:38,
2002-01,0.202,
2002-04,0.204,
2002-07,0.196,
2002-10,0.198,
2003-01,0.214,
2003-04,0.211,
2003-07,0.208,
2003-10,0.210,
2004-01,0.204,
2004-04,0.197,
2004-07,0.184,
2004-10,0.178,
2005-01,0.174,
2005-04,0.169,
2005-07,0.161,
2005-10,0.156,
2006-01,0.156,
2006-04,0.162,
2006-07,0.153,
2006-10,0.150,
2007-01,0.164,
2007-04,0.164,
2007-07,0.159,
2007-10,0.148,
2008-01,0.152,
2008-04,0.149,
2008-07,0.147,
2008-10,0.149,
2009-01,0.153,
2009-04,0.149,
2009-07,0.144,
2009-10,0.144,
2010-01,0.152,
2010-04,0.143,
2010-07,0.132,
2010-10,0.135,
2011-01,0.134,
2011-04,0.134,
2011-07,0.129,
2011-10,0.128,
2012-01,0.124,
2012-04,0.125,
2012-07,0.123,
2012-10,0.141,
2013-01,0.135,
2013-04,0.128,
2013-07,0.125,
2013-10,0.107,
2014-01,0.109,
2014-04,0.104,
2014-07,0.098,
