"",BBK01.CEF405,BBK01.CEF405_FLAGS
"",Loans                                                           debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:39,
1999-01,68.3,
1999-04,93.1,
1999-07,76.3,
1999-10,81.7,
2000-01,104.0,
2000-04,125.5,
2000-07,106.8,
2000-10,105.3,
2001-01,144.5,
2001-04,141.7,
2001-07,126.5,
2001-10,118.2,
2002-01,112.4,
2002-04,97.8,
2002-07,103.4,
2002-10,102.4,
2003-01,117.5,
2003-04,120.7,
2003-07,118.9,
2003-10,114.2,
2004-01,123.8,
2004-04,127.8,
2004-07,125.4,
2004-10,115.9,
2005-01,126.2,
2005-04,129.6,
2005-07,143.1,
2005-10,139.0,
2006-01,155.6,
2006-04,158.1,
2006-07,159.0,
2006-10,151.3,
2007-01,161.8,
2007-04,181.0,
2007-07,174.8,
2007-10,161.3,
2008-01,171.2,
2008-04,177.8,
2008-07,175.4,
2008-10,181.6,
2009-01,172.7,
2009-04,179.5,
2009-07,171.6,
2009-10,183.9,
2010-01,186.6,
2010-04,194.1,
2010-07,192.6,
2010-10,195.1,
2011-01,204.2,
2011-04,203.9,
2011-07,221.7,
2011-10,209.0,
2012-01,226.9,
2012-04,223.8,
2012-07,226.7,
2012-10,245.6,
2013-01,250.2,
2013-04,276.9,
2013-07,252.5,
2013-10,241.0,
2014-01,250.2,
2014-04,260.2,
2014-07,261.0,
