"",BBSF2.M.1.S.00000.REN01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:08,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,601,
1993-05,538,
1993-06,413,
1993-07,993,
1993-08,1798,
1993-09,770,
1993-10,758,
1993-11,549,
1993-12,1678,
1994-01,1087,
1994-02,1298,
1994-03,1145,
1994-04,717,
1994-05,602,
1994-06,2347,
1994-07,739,
1994-08,687,
1994-09,384,
1994-10,422,
1994-11,1017,
1994-12,1354,
1995-01,1051,
1995-02,811,
1995-03,1545,
1995-04,415,
1995-05,331,
1995-06,532,
1995-07,1488,
1995-08,246,
1995-09,617,
1995-10,333,
1995-11,492,
1995-12,2514,
1996-01,2014,
1996-02,980,
1996-03,929,
1996-04,764,
1996-05,617,
1996-06,891,
1996-07,760,
1996-08,571,
1996-09,578,
1996-10,1702,
1996-11,1282,
1996-12,1945,
1997-01,1719,
1997-02,1344,
1997-03,1595,
1997-04,1563,
1997-05,362,
1997-06,2469,
1997-07,793,
1997-08,1349,
1997-09,1024,
1997-10,975,
1997-11,569,
1997-12,4026,
1998-01,1180,
1998-02,1659,
1998-03,1535,
1998-04,1504,
1998-05,2016,
1998-06,973,
1998-07,1354,
1998-08,2301,
1998-09,753,
1998-10,1779,
1998-11,1479,
1998-12,5206,
1999-01,2220,
1999-02,1716,
1999-03,2134,
1999-04,3615,
1999-05,2710,
1999-06,1729,
1999-07,1350,
1999-08,1444,
1999-09,1200,
1999-10,1179,
1999-11,2173,
1999-12,9772,
2000-01,2033,
2000-02,2113,
2000-03,1304,
2000-04,4724,
2000-05,1430,
2000-06,1983,
2000-07,992,
2000-08,1595,
2000-09,656,
2000-10,668,
2000-11,1224,
2000-12,5913,
2001-01,3979,
2001-02,2539,
2001-03,1424,
2001-04,1991,
2001-05,927,
2001-06,1472,
2001-07,2013,
2001-08,1231,
2001-09,847,
2001-10,1500,
2001-11,1153,
2001-12,12233,
2002-01,2075,
2002-02,1779,
2002-03,1115,
2002-04,2091,
2002-05,3233,
2002-06,2225,
2002-07,1759,
2002-08,2624,
2002-09,2904,
2002-10,2508,
2002-11,1378,
2002-12,7154,
2003-01,3301,
2003-02,4436,
2003-03,1634,
2003-04,1911,
2003-05,2655,
2003-06,2687,
2003-07,2745,
2003-08,1172,
2003-09,1394,
2003-10,2825,
2003-11,2155,
2003-12,3470,
2004-01,1423,
2004-02,2001,
2004-03,1505,
2004-04,858,
2004-05,2539,
2004-06,1417,
2004-07,639,
2004-08,1644,
2004-09,1536,
2004-10,2092,
2004-11,2221,
2004-12,8186,
2005-01,2269,
2005-02,2224,
2005-03,1711,
2005-04,1553,
2005-05,2532,
2005-06,1385,
2005-07,2315,
2005-08,896,
2005-09,2468,
2005-10,794,
2005-11,1269,
2005-12,5015,
2006-01,4179,
2006-02,1359,
2006-03,2686,
2006-04,2348,
2006-05,2352,
2006-06,1961,
2006-07,1387,
2006-08,1147,
2006-09,9686,
2006-10,1384,
2006-11,2582,
2006-12,3514,
2007-01,5994,
2007-02,3077,
2007-03,3180,
2007-04,5821,
2007-05,1023,
2007-06,2811,
2007-07,1906,
2007-08,1491,
2007-09,2479,
2007-10,2676,
2007-11,3121,
2007-12,16264,
2008-01,4731,
2008-02,1616,
2008-03,2746,
2008-04,3336,
2008-05,2536,
2008-06,1214,
2008-07,1303,
2008-08,1810,
2008-09,2980,
2008-10,1699,
2008-11,2041,
2008-12,5889,
2009-01,4743,
2009-02,2370,
2009-03,4711,
2009-04,1731,
2009-05,1335,
2009-06,2589,
2009-07,7160,
2009-08,7676,
2009-09,2652,
2009-10,3752,
2009-11,3188,
2009-12,9100,
2010-01,5493,
2010-02,3638,
2010-03,3310,
2010-04,3448,
2010-05,2004,
2010-06,2601,
2010-07,2715,
2010-08,2685,
2010-09,3207,
2010-10,5751,
2010-11,3371,
2010-12,5048,
2011-01,4519,
2011-02,5305,
2011-03,1841,
2011-04,2654,
2011-05,1053,
2011-06,2115,
2011-07,986,
2011-08,1735,
2011-09,4127,
2011-10,2831,
2011-11,3556,
2011-12,8708,
2012-01,6356,
2012-02,4283,
2012-03,4117,
2012-04,1475,
2012-05,1961,
2012-06,5093,
2012-07,4774,
2012-08,3366,
2012-09,2365,
2012-10,4614,
2012-11,7010,
2012-12,6288,
2013-01,4967,
2013-02,6000,
2013-03,4296,
2013-04,2486,
2013-05,2751,
2013-06,3061,
2013-07,3371,
2013-08,1099,
2013-09,2777,
2013-10,5267,
2013-11,11829,
2013-12,6731,
2014-01,4079,
2014-02,4233,
2014-03,9306,
2014-04,1731,
2014-05,4620,
2014-06,3757,
2014-07,4505,
2014-08,3248,
2014-09,3331,
2014-10,4284,
2014-11,5531,
