"",BBK01.OEXI06K,BBK01.OEXI06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:01,
2002-01,0.255,
2002-04,0.266,
2002-07,0.288,
2002-10,0.291,
2003-01,0.280,
2003-04,0.269,
2003-07,0.266,
2003-10,0.260,
2004-01,0.266,
2004-04,0.246,
2004-07,0.230,
2004-10,0.222,
2005-01,0.240,
2005-04,0.236,
2005-07,0.231,
2005-10,0.224,
2006-01,0.231,
2006-04,0.223,
2006-07,0.240,
2006-10,0.250,
2007-01,0.245,
2007-04,0.255,
2007-07,0.254,
2007-10,0.309,
2008-01,0.350,
2008-04,0.401,
2008-07,0.447,
2008-10,0.538,
2009-01,0.635,
2009-04,0.550,
2009-07,0.478,
2009-10,0.384,
2010-01,0.345,
2010-04,0.446,
2010-07,0.490,
2010-10,0.504,
2011-01,0.544,
2011-04,0.625,
2011-07,0.692,
2011-10,0.694,
2012-01,0.697,
2012-04,0.718,
2012-07,0.735,
2012-10,0.770,
2013-01,0.724,
2013-04,0.632,
2013-07,0.609,
2013-10,0.604,
2014-01,0.615,
2014-04,0.616,
2014-07,0.582,
