"",BBSF2.M.1.S.00000.DAC01.A.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.A.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Net asset value / Not defined / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:12,
1999-01,5,
1999-02,5,
1999-03,7,
1999-04,8,
1999-05,8,
1999-06,13,
1999-07,12,
1999-08,15,
1999-09,15,
1999-10,15,
1999-11,32,
1999-12,154,
2000-01,179,
2000-02,214,
2000-03,234,
2000-04,245,
2000-05,243,
2000-06,261,
2000-07,295,
2000-08,396,
2000-09,422,
2000-10,442,
2000-11,434,
2000-12,468,
2001-01,537,
2001-02,565,
2001-03,449,
2001-04,484,
2001-05,504,
2001-06,516,
2001-07,532,
2001-08,556,
2001-09,565,
2001-10,534,
2001-11,569,
2001-12,587,
2002-01,576,
2002-02,616,
2002-03,625,
2002-04,672,
2002-05,693,
2002-06,684,
2002-07,684,
2002-08,691,
2002-09,677,
2002-10,744,
2002-11,746,
2002-12,746,
2003-01,741,
2003-02,929,
2003-03,965,
2003-04,984,
2003-05,1035,
2003-06,1085,
2003-07,1145,
2003-08,1157,
2003-09,1188,
2003-10,1276,
2003-11,1260,
2003-12,1289,
2004-01,1327,
2004-02,1351,
2004-03,1376,
2004-04,1384,
2004-05,1380,
2004-06,1386,
2004-07,1379,
2004-08,1415,
2004-09,1383,
2004-10,1389,
2004-11,1481,
2004-12,1517,
2005-01,1674,
2005-02,1726,
2005-03,1753,
2005-04,1762,
2005-05,1765,
2005-06,1820,
2005-07,1816,
2005-08,1770,
2005-09,1907,
2005-10,1829,
2005-11,1937,
2005-12,1958,
2006-01,2163,
2006-02,2194,
2006-03,2451,
2006-04,2502,
2006-05,2584,
2006-06,2500,
2006-07,2620,
2006-08,2707,
2006-09,2741,
2006-10,2785,
2006-11,2848,
2006-12,2845,
2007-01,2552,
2007-02,2568,
2007-03,2654,
2007-04,2712,
2007-05,2788,
2007-06,2730,
2007-07,2801,
2007-08,2751,
2007-09,2751,
2007-10,2803,
2007-11,2729,
2007-12,2769,
2008-01,2665,
2008-02,2737,
2008-03,2725,
2008-04,2777,
2008-05,2770,
2008-06,2736,
2008-07,2650,
2008-08,2605,
2008-09,2555,
2008-10,5515,
2008-11,11345,
2008-12,11367,
2009-01,11299,
2009-02,10877,
2009-03,11990,
2009-04,12979,
2009-05,14183,
2009-06,14399,
2009-07,15829,
2009-08,16253,
2009-09,17682,
2009-10,18030,
2009-11,19512,
2009-12,20343,
2010-01,20431,
2010-02,20808,
2010-03,21555,
2010-04,21960,
2010-05,21698,
2010-06,21653,
2010-07,22248,
2010-08,26008,
2010-09,27230,
2010-10,27694,
2010-11,28055,
2010-12,28682,
2011-01,28833,
2011-02,29065,
2011-03,29284,
2011-04,29713,
2011-05,29744,
2011-06,29880,
2011-07,30181,
2011-08,29599,
2011-09,29852,
2011-10,30880,
2011-11,30467,
2011-12,31355,
2012-01,32243,
2012-02,32917,
2012-03,33268,
2012-04,33486,
2012-05,33207,
2012-06,33883,
2012-07,43587,
2012-08,43570,
2012-09,43973,
2012-10,44749,
2012-11,45178,
2012-12,45297,
2013-01,46398,
2013-02,46777,
2013-03,47141,
2013-04,48166,
2013-05,48274,
2013-06,47116,
2013-07,47461,
2013-08,46974,
2013-09,47871,
2013-10,48811,
2013-11,48989,
2013-12,49599,
2014-01,49606,
2014-02,50437,
2014-03,51294,
2014-04,51763,
2014-05,52633,
2014-06,53465,
2014-07,54095,
2014-08,54533,
2014-09,54764,
2014-10,55060,
2014-11,55751,
