"",BBK01.QUF807,BBK01.QUF807_FLAGS
"","All foreign subsidiaries: Claims on non-residents, total / Malta / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:15:41,
2004-12,0.068,
2005-01,0.069,
2005-02,0.070,
2005-03,0.071,
2005-04,0.071,
2005-05,0.070,
2005-06,0.068,
2005-07,0.066,
2005-08,0.059,
2005-09,0.058,
2005-10,0.057,
2005-11,0.055,
2005-12,0.054,
2006-01,0.053,
2006-02,0.053,
2006-03,0.053,
2006-04,0.053,
2006-05,0.053,
2006-06,0.053,
2006-07,0.044,
2006-08,0.045,
2006-09,0.046,
2006-10,0.047,
2006-11,0.045,
2006-12,0.044,
2007-01,0.031,
2007-02,0.030,
2007-03,0.030,
2007-04,0.030,
2007-05,0.030,
2007-06,0.019,
2007-07,0.020,
2007-08,0.023,
2007-09,0.011,
2007-10,0.006,
2007-11,0.005,
2007-12,0.008,
2008-01,0.261,
2008-02,0.277,
2008-03,0.268,
2008-04,0.267,
2008-05,0.017,
2008-06,0.066,
2008-07,0.216,
2008-08,0.216,
2008-09,0.266,
2008-10,0.267,
2008-11,0.006,
2008-12,0.008,
2009-01,0.008,
2009-02,0.010,
2009-03,0.012,
2009-04,0.009,
2009-05,0.010,
2009-06,0.011,
2009-07,0.009,
2009-08,0.009,
2009-09,0.007,
2009-10,0.007,
2009-11,0.005,
2009-12,0.000,
2010-01,0.000,
2010-02,0.001,
2010-03,0.001,
2010-04,0.001,
2010-05,0.006,
2010-06,0.008,
2010-07,0.005,
2010-08,0.009,
2010-09,0.010,
2010-10,0.010,
2010-11,0.010,
2010-12,0.010,
2011-01,0.005,
2011-02,0.004,
2011-03,0.004,
2011-04,0.004,
2011-05,0.004,
2011-06,0.007,
2011-07,0.006,
2011-08,0.006,
2011-09,0.156,
2011-10,0.203,
2011-11,0.463,
2011-12,0.339,
2012-01,0.256,
2012-02,0.232,
2012-03,0.231,
2012-04,0.200,
2012-05,0.338,
2012-06,0.335,
2012-07,0.308,
2012-08,0.309,
2012-09,0.310,
2012-10,0.309,
2012-11,0.306,
2012-12,0.247,
2013-01,0.263,
2013-02,0.268,
2013-03,0.271,
2013-04,0.276,
2013-05,0.281,
2013-06,0.355,
2013-07,0.355,
2013-08,0.373,
2013-09,0.374,
2013-10,0.150,
2013-11,0.119,
2013-12,0.120,
2014-01,0.120,
2014-02,0.077,
2014-03,0.077,
2014-04,0.081,
2014-05,0.081,
2014-06,0.074,
2014-07,0.075,
2014-08,0.075,
2014-09,0.074,
2014-10,0.078,
2014-11,0.078,
