"",BBK01.OEYB19G,BBK01.OEYB19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:28,
2002-01,4.025,
2002-04,4.155,
2002-07,4.267,
2002-10,4.437,
2003-01,4.551,
2003-04,4.905,
2003-07,5.122,
2003-10,5.435,
2004-01,5.420,
2004-04,5.615,
2004-07,5.728,
2004-10,5.802,
2005-01,5.749,
2005-04,5.848,
2005-07,7.314,
2005-10,7.198,
2006-01,6.972,
2006-04,6.703,
2006-07,6.644,
2006-10,6.530,
2007-01,6.317,
2007-04,5.993,
2007-07,5.785,
2007-10,5.545,
2008-01,5.244,
2008-04,5.052,
2008-07,4.768,
2008-10,4.447,
2009-01,4.194,
2009-04,4.140,
2009-07,4.225,
2009-10,4.130,
2010-01,4.051,
2010-04,4.034,
2010-07,4.074,
2010-10,4.079,
2011-01,4.446,
2011-04,4.422,
2011-07,4.417,
2011-10,4.376,
2012-01,4.403,
2012-04,4.390,
2012-07,4.366,
2012-10,4.342,
2013-01,4.147,
2013-04,4.095,
2013-07,4.036,
2013-10,3.892,
2014-01,3.765,
2014-04,3.647,
2014-07,3.547,
