"",BBK01.OEBJ04J,BBK01.OEBJ04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:24,
2002-01,0.502,
2002-04,0.495,
2002-07,0.439,
2002-10,0.407,
2003-01,0.441,
2003-04,0.491,
2003-07,0.449,
2003-10,0.388,
2004-01,0.414,
2004-04,0.288,
2004-07,0.331,
2004-10,0.403,
2005-01,0.378,
2005-04,0.363,
2005-07,0.379,
2005-10,0.618,
2006-01,0.560,
2006-04,0.459,
2006-07,0.446,
2006-10,0.421,
2007-01,0.413,
2007-04,0.348,
2007-07,0.612,
2007-10,0.817,
2008-01,0.757,
2008-04,0.887,
2008-07,0.982,
2008-10,1.004,
2009-01,0.994,
2009-04,0.869,
2009-07,0.924,
2009-10,1.001,
2010-01,0.922,
2010-04,0.780,
2010-07,0.834,
2010-10,0.901,
2011-01,0.915,
2011-04,0.806,
2011-07,0.919,
2011-10,0.883,
2012-01,0.890,
2012-04,0.883,
2012-07,0.859,
2012-10,0.820,
2013-01,0.724,
2013-04,0.704,
2013-07,0.732,
2013-10,0.654,
2014-01,0.965,
2014-04,0.983,
2014-07,0.944,
