"",BBK01.TUS004A,BBK01.TUS004A_FLAGS
"",,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:59:25,
1999-06,4440,
1999-07,4440,
1999-08,4440,
1999-09,4440,
1999-10,4440,
1999-11,4440,
1999-12,4440,
2000-01,4440,
2000-02,4440,
2000-03,4440,
2000-04,4440,
2000-05,4440,
2000-06,4440,
2000-07,4440,
2000-08,4440,
2000-09,4440,
2000-10,4440,
2000-11,4440,
2000-12,4440,
2001-01,4440,
2001-02,4440,
2001-03,4440,
2001-04,4440,
2001-05,4440,
2001-06,4440,
2001-07,4440,
2001-08,4440,
2001-09,4440,
2001-10,4440,
2001-11,4440,
2001-12,4440,
2002-01,4440,
2002-02,4440,
2002-03,4440,
2002-04,4440,
2002-05,4440,
2002-06,4440,
2002-07,4440,
2002-08,4440,
2002-09,4440,
2002-10,4440,
2002-11,4440,
2002-12,4440,
2003-01,4440,
2003-02,4440,
2003-03,4440,
2003-04,4440,
2003-05,4440,
2003-06,4440,
2003-07,4440,
2003-08,4440,
2003-09,4440,
2003-10,4440,
2003-11,4440,
2003-12,4440,
2004-01,4440,
2004-02,4440,
2004-03,4440,
2004-04,4440,
2004-05,4440,
2004-06,4440,
2004-07,4440,
2004-08,4440,
2004-09,4440,
2004-10,4440,
2004-11,4440,
2004-12,4440,
2005-01,4440,
2005-02,4440,
2005-03,4440,
2005-04,4440,
2005-05,4440,
2005-06,4440,
2005-07,4440,
2005-08,4440,
2005-09,4440,
2005-10,4440,
2005-11,4440,
2005-12,4440,
2006-01,4440,
2006-02,4440,
2006-03,4440,
2006-04,4440,
2006-05,4440,
2006-06,4440,
2006-07,4440,
2006-08,4440,
2006-09,4440,
2006-10,4440,
2006-11,4440,
2006-12,4440,
2007-01,4440,
2007-02,4440,
2007-03,4440,
2007-04,4440,
2007-05,4440,
2007-06,4440,
2007-07,4440,
2007-08,4440,
2007-09,4440,
2007-10,4440,
2007-11,4440,
2007-12,4440,
2008-01,4440,
2008-02,4440,
2008-03,4440,
2008-04,4440,
2008-05,4440,
2008-06,4440,
2008-07,4440,
2008-08,4440,
2008-09,4440,
2008-10,4440,
2008-11,4440,
2008-12,4440,
2009-01,4440,
2009-02,4440,
2009-03,4440,
2009-04,4440,
2009-05,4440,
2009-06,4440,
2009-07,4440,
2009-08,4440,
2009-09,4440,
2009-10,4440,
2009-11,4440,
2009-12,4440,
2010-01,4440,
2010-02,4440,
2010-03,4440,
2010-04,4440,
2010-05,4440,
2010-06,4440,
2010-07,4440,
2010-08,4440,
2010-09,4440,
2010-10,4440,
2010-11,4440,
2010-12,4440,
2011-01,4440,
2011-02,4440,
2011-03,4440,
2011-04,4440,
2011-05,4440,
2011-06,4440,
2011-07,4440,
2011-08,4440,
2011-09,4440,
2011-10,4440,
2011-11,4440,
2011-12,4440,
2012-01,4440,
2012-02,4440,
2012-03,4440,
2012-04,4440,
2012-05,4440,
2012-06,4440,
2012-07,4440,
2012-08,4440,
2012-09,4440,
2012-10,4440,
2012-11,4440,
2012-12,4440,
2013-01,4440,
2013-02,4440,
2013-03,4440,
2013-04,4440,
2013-05,4440,
2013-06,4440,
2013-07,4440,
2013-08,4440,
2013-09,4440,
2013-10,4440,
2013-11,4440,
2013-12,4440,
2014-01,4440,
2014-02,4440,
2014-03,4440,
2014-04,4440,
2014-05,4440,
2014-06,4440,
2014-07,4440,
2014-08,4440,
2014-09,4440,
2014-10,4440,
2014-11,4440,
2014-12,4440,
2015-01,4440,
