"",BBK01.OEAH13I,BBK01.OEAH13I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:24,
2002-01,1.738,
2002-04,1.641,
2002-07,1.639,
2002-10,1.562,
2003-01,1.422,
2003-04,1.340,
2003-07,1.174,
2003-10,1.149,
2004-01,1.021,
2004-04,0.975,
2004-07,0.934,
2004-10,0.956,
2005-01,1.017,
2005-04,0.975,
2005-07,0.863,
2005-10,0.803,
2006-01,0.791,
2006-04,0.848,
2006-07,0.917,
2006-10,1.035,
2007-01,1.304,
2007-04,1.383,
2007-07,1.485,
2007-10,1.655,
2008-01,1.695,
2008-04,1.750,
2008-07,1.843,
2008-10,2.212,
2009-01,2.116,
2009-04,2.362,
2009-07,2.412,
2009-10,2.164,
2010-01,2.617,
2010-04,2.762,
2010-07,3.241,
2010-10,3.674,
2011-01,4.126,
2011-04,4.210,
2011-07,4.273,
2011-10,4.378,
2012-01,4.433,
2012-04,4.446,
2012-07,4.237,
2012-10,4.194,
2013-01,4.112,
2013-04,3.989,
2013-07,3.930,
2013-10,3.918,
2014-01,3.936,
2014-04,3.941,
2014-07,4.138,
