"",BBNZ1.Q.DE.S.H.0082.A,BBNZ1.Q.DE.S.H.0082.A_FLAGS
"",Germany / National accounts / Origin of GDP / Real estate activities / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:41,
1991-01,54.12,
1991-04,50.88,
1991-07,54.31,
1991-10,54.48,
1992-01,54.87,
1992-04,55.59,
1992-07,56.74,
1992-10,57.32,
1993-01,57.47,
1993-04,58.53,
1993-07,59.52,
1993-10,60.23,
1994-01,61.21,
1994-04,62.07,
1994-07,63.15,
1994-10,63.96,
1995-01,67.06,
1995-04,67.97,
1995-07,69.13,
1995-10,70.49,
1996-01,72.79,
1996-04,74.14,
1996-07,75.07,
1996-10,76.51,
1997-01,74.75,
1997-04,76.74,
1997-07,77.61,
1997-10,79.31,
1998-01,78.25,
1998-04,79.33,
1998-07,79.86,
1998-10,80.98,
1999-01,77.64,
1999-04,78.61,
1999-07,79.18,
1999-10,80.52,
2000-01,82.18,
2000-04,82.42,
2000-07,82.38,
2000-10,82.29,
2001-01,84.57,
2001-04,84.53,
2001-07,85.53,
2001-10,87.22,
2002-01,87.46,
2002-04,87.84,
2002-07,88.59,
2002-10,89.26,
2003-01,88.69,
2003-04,89.39,
2003-07,90.68,
2003-10,90.39,
2004-01,89.52,
2004-04,90.80,
2004-07,90.82,
2004-10,91.01,
2005-01,91.77,
2005-04,92.40,
2005-07,93.07,
2005-10,93.30,
2006-01,92.73,
2006-04,93.23,
2006-07,93.29,
2006-10,95.37,
2007-01,96.39,
2007-04,96.91,
2007-07,97.38,
2007-10,97.50,
2008-01,98.98,
2008-04,99.70,
2008-07,99.56,
2008-10,98.53,
2009-01,100.31,
2009-04,101.31,
2009-07,101.48,
2009-10,101.73,
2010-01,100.68,
2010-04,99.65,
2010-07,100.08,
2010-10,99.60,
2011-01,103.64,
2011-04,102.90,
2011-07,103.44,
2011-10,103.59,
2012-01,101.26,
2012-04,101.34,
2012-07,101.37,
2012-10,101.36,
2013-01,101.90,
2013-04,101.69,
2013-07,101.80,
2013-10,102.08,
2014-01,103.03,
2014-04,102.87,
2014-07,103.25,
2014-10,102.81,
