"",BBK01.OEXO01U,BBK01.OEXO01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:01,
2002-01,0.668,
2002-04,0.657,
2002-07,0.633,
2002-10,0.626,
2003-01,0.644,
2003-04,0.626,
2003-07,0.605,
2003-10,0.592,
2004-01,0.601,
2004-04,0.565,
2004-07,0.536,
2004-10,0.494,
2005-01,0.505,
2005-04,0.532,
2005-07,0.524,
2005-10,0.491,
2006-01,0.506,
2006-04,0.512,
2006-07,0.508,
2006-10,0.540,
2007-01,0.559,
2007-04,0.645,
2007-07,0.671,
2007-10,0.698,
2008-01,0.782,
2008-04,0.833,
2008-07,0.853,
2008-10,0.874,
2009-01,1.002,
2009-04,0.992,
2009-07,0.941,
2009-10,0.945,
2010-01,0.904,
2010-04,0.836,
2010-07,0.802,
2010-10,0.793,
2011-01,0.883,
2011-04,0.933,
2011-07,0.932,
2011-10,0.916,
2012-01,0.908,
2012-04,0.879,
2012-07,0.873,
2012-10,0.879,
2013-01,0.826,
2013-04,0.773,
2013-07,0.732,
2013-10,0.719,
2014-01,0.708,
2014-04,0.695,
2014-07,0.670,
