"",BBK01.OECI01V,BBK01.OECI01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:25,
2002-01,5.145,
2002-04,5.141,
2002-07,5.281,
2002-10,5.667,
2003-01,5.190,
2003-04,5.175,
2003-07,5.158,
2003-10,6.224,
2004-01,6.224,
2004-04,7.342,
2004-07,7.752,
2004-10,6.766,
2005-01,8.851,
2005-04,9.147,
2005-07,10.447,
2005-10,9.102,
2006-01,8.687,
2006-04,8.576,
2006-07,8.677,
2006-10,9.402,
2007-01,9.299,
2007-04,9.271,
2007-07,9.361,
2007-10,10.071,
2008-01,10.284,
2008-04,10.293,
2008-07,11.184,
2008-10,11.316,
2009-01,12.640,
2009-04,11.786,
2009-07,11.555,
2009-10,10.698,
2010-01,10.613,
2010-04,10.469,
2010-07,10.513,
2010-10,10.429,
2011-01,10.469,
2011-04,10.611,
2011-07,11.174,
2011-10,11.578,
2012-01,12.039,
2012-04,11.919,
2012-07,11.615,
2012-10,11.745,
2013-01,11.734,
2013-04,11.872,
2013-07,11.753,
2013-10,11.965,
2014-01,11.914,
2014-04,12.023,
2014-07,12.310,
