"",BBK01.OEBJ05N,BBK01.OEBJ05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:32,
2002-01,8.601,
2002-04,8.438,
2002-07,8.357,
2002-10,8.583,
2003-01,8.570,
2003-04,8.295,
2003-07,8.609,
2003-10,8.797,
2004-01,8.823,
2004-04,8.886,
2004-07,9.463,
2004-10,2.377,
2005-01,4.922,
2005-04,4.848,
2005-07,5.030,
2005-10,5.109,
2006-01,5.250,
2006-04,6.047,
2006-07,6.120,
2006-10,7.212,
2007-01,7.509,
2007-04,7.791,
2007-07,7.894,
2007-10,7.763,
2008-01,9.050,
2008-04,9.475,
2008-07,9.483,
2008-10,9.626,
2009-01,9.098,
2009-04,10.023,
2009-07,10.283,
2009-10,9.660,
2010-01,9.679,
2010-04,9.371,
2010-07,9.258,
2010-10,9.433,
2011-01,9.486,
2011-04,9.343,
2011-07,9.637,
2011-10,10.213,
2012-01,9.923,
2012-04,9.543,
2012-07,8.861,
2012-10,8.969,
2013-01,12.427,
2013-04,11.905,
2013-07,11.628,
2013-10,11.348,
2014-01,12.609,
2014-04,10.920,
2014-07,13.387,
