"",BBK01.OELI07G,BBK01.OELI07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:04,
2002-01,36.040,
2002-04,35.583,
2002-07,35.797,
2002-10,36.843,
2003-01,36.745,
2003-04,36.538,
2003-07,36.465,
2003-10,37.434,
2004-01,37.959,
2004-04,37.921,
2004-07,37.773,
2004-10,38.464,
2005-01,38.700,
2005-04,38.338,
2005-07,38.005,
2005-10,38.601,
2006-01,38.358,
2006-04,37.795,
2006-07,37.225,
2006-10,37.051,
2007-01,35.946,
2007-04,34.683,
2007-07,33.636,
2007-10,33.595,
2008-01,32.291,
2008-04,31.093,
2008-07,30.066,
2008-10,30.819,
2009-01,32.013,
2009-04,32.705,
2009-07,34.158,
2009-10,37.171,
2010-01,39.021,
2010-04,39.252,
2010-07,39.577,
2010-10,40.283,
2011-01,41.239,
2011-04,41.002,
2011-07,40.864,
2011-10,41.028,
2012-01,40.845,
2012-04,40.359,
2012-07,40.771,
2012-10,41.472,
2013-01,41.899,
2013-04,41.701,
2013-07,41.944,
2013-10,42.563,
2014-01,42.715,
2014-04,42.289,
2014-07,42.981,
