"",BBFB1.Q.N.DE.S3.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:35,
1991-01,37.681,
1991-04,42.550,
1991-07,24.628,
1991-10,7.880,
1992-01,14.146,
1992-04,37.595,
1992-07,20.018,
1992-10,26.373,
1993-01,48.649,
1993-04,49.684,
1993-07,29.032,
1993-10,12.433,
1994-01,18.198,
1994-04,25.413,
1994-07,10.553,
1994-10,7.995,
1995-01,10.004,
1995-04,26.322,
1995-07,4.724,
1995-10,8.292,
1996-01,9.994,
1996-04,12.246,
1996-07,10.192,
1996-10,7.097,
1997-01,7.511,
1997-04,25.731,
1997-07,19.310,
1997-10,-10.340,
1998-01,6.861,
1998-04,206.367,
1998-07,8.874,
1998-10,-1.765,
1999-01,20.044,
1999-04,55.881,
1999-07,6.873,
1999-10,0.105,
2000-01,4.483,
2000-04,56.457,
2000-07,5.704,
2000-10,-203.326,
2001-01,7.106,
2001-04,52.237,
2001-07,18.657,
2001-10,3.481,
2002-01,7.123,
2002-04,-0.808,
2002-07,4.168,
2002-10,2.731,
2003-01,4.653,
2003-04,29.044,
2003-07,2.294,
2003-10,8.398,
2004-01,7.163,
2004-04,35.773,
2004-07,3.567,
2004-10,4.661,
2005-01,6.860,
2005-04,35.965,
2005-07,11.668,
2005-10,12.842,
2006-01,5.973,
2006-04,26.364,
2006-07,8.596,
2006-10,7.663,
2007-01,6.913,
2007-04,34.940,
2007-07,3.132,
2007-10,10.620,
2008-01,7.980,
2008-04,49.117,
2008-07,9.004,
2008-10,7.634,
2009-01,13.419,
2009-04,8.881,
2009-07,7.992,
2009-10,7.085,
2010-01,6.054,
2010-04,7.536,
2010-07,9.602,
2010-10,9.613,
2011-01,19.961,
2011-04,29.693,
2011-07,22.570,
2011-10,28.060,
2012-01,25.653,
2012-04,47.358,
2012-07,14.046,
2012-10,31.954,
2013-01,33.373,
2013-04,51.799,
2013-07,27.538,
2013-10,35.830,
2014-01,21.137,Provisional value
2014-04,38.376,Provisional value
2014-07,26.086,Provisional value
