"",BBK01.BJ2911,BBK01.BJ2911_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - revenue",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:59,
1991,411046,
1992,462245,
1993,474813,
1994,508862,
1995,524779,
1996,511435,
1997,518623,
1998,548156,
1999,566135,
2000,612310,
2001,555452,
2002,554671,
2003,547047,
2004,546131,
2005,569077,
2006,590075,
2007,642826,
2008,665716,
2009,623032,
2010,634653,
2011,689608,
2012,744100,Provisional value
2013,761600,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
