"",BBK01.OEAA24M,BBK01.OEAA24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:47,
2002-01,2.162,
2002-04,2.164,
2002-07,2.150,
2002-10,2.162,
2003-01,2.156,
2003-04,2.161,
2003-07,2.154,
2003-10,2.174,
2004-01,1.883,
2004-04,1.863,
2004-07,1.854,
2004-10,0.825,
2005-01,0.792,
2005-04,0.784,
2005-07,0.762,
2005-10,0.782,
2006-01,0.796,
2006-04,0.746,
2006-07,0.726,
2006-10,0.723,
2007-01,1.112,
2007-04,1.097,
2007-07,1.081,
2007-10,1.071,
2008-01,0.288,
2008-04,0.288,
2008-07,0.281,
2008-10,0.277,
2009-01,0.274,
2009-04,0.269,
2009-07,0.265,
2009-10,0.261,
2010-01,0.256,
2010-04,0.258,
2010-07,0.252,
2010-10,0.247,
2011-01,0.236,
2011-04,0.230,
2011-07,0.226,
2011-10,0.209,
2012-01,0.046,
2012-04,0.019,
2012-07,0.015,
2012-10,0.013,
2013-01,0.012,
2013-04,0.010,
2013-07,0.011,
2013-10,0.012,
2014-01,0.009,
2014-04,0.010,
2014-07,0.007,
