"",BBK01.OEHI06J,BBK01.OEHI06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:56,
2002-01,0.358,
2002-04,0.357,
2002-07,0.349,
2002-10,0.344,
2003-01,0.360,
2003-04,0.364,
2003-07,0.355,
2003-10,0.331,
2004-01,0.325,
2004-04,0.307,
2004-07,0.276,
2004-10,0.290,
2005-01,0.285,
2005-04,0.273,
2005-07,0.278,
2005-10,0.278,
2006-01,0.267,
2006-04,0.257,
2006-07,0.261,
2006-10,0.275,
2007-01,0.306,
2007-04,0.330,
2007-07,0.352,
2007-10,0.378,
2008-01,0.400,
2008-04,0.417,
2008-07,0.449,
2008-10,0.455,
2009-01,0.422,
2009-04,0.384,
2009-07,0.359,
2009-10,0.277,
2010-01,0.267,
2010-04,0.259,
2010-07,0.261,
2010-10,0.272,
2011-01,0.275,
2011-04,0.277,
2011-07,0.278,
2011-10,0.270,
2012-01,0.269,
2012-04,0.272,
2012-07,0.270,
2012-10,0.262,
2013-01,0.240,
2013-04,0.272,
2013-07,0.270,
2013-10,0.237,
2014-01,0.229,
2014-04,0.224,
2014-07,0.222,
