"",BBK01.OELI04T,BBK01.OELI04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:48,
2002-01,0.607,
2002-04,0.578,
2002-07,0.568,
2002-10,0.600,
2003-01,0.648,
2003-04,0.581,
2003-07,0.616,
2003-10,0.667,
2004-01,0.695,
2004-04,0.582,
2004-07,0.648,
2004-10,0.742,
2005-01,0.678,
2005-04,0.643,
2005-07,0.627,
2005-10,0.685,
2006-01,0.707,
2006-04,0.665,
2006-07,0.650,
2006-10,0.691,
2007-01,0.723,
2007-04,0.743,
2007-07,0.735,
2007-10,0.715,
2008-01,0.771,
2008-04,0.746,
2008-07,0.767,
2008-10,0.839,
2009-01,0.956,
2009-04,0.681,
2009-07,0.677,
2009-10,0.634,
2010-01,0.618,
2010-04,0.626,
2010-07,0.614,
2010-10,0.612,
2011-01,0.641,
2011-04,0.590,
2011-07,0.611,
2011-10,0.637,
2012-01,0.536,
2012-04,0.465,
2012-07,0.466,
2012-10,0.456,
2013-01,0.387,
2013-04,0.364,
2013-07,0.340,
2013-10,0.325,
2014-01,0.319,
2014-04,0.305,
2014-07,0.280,
