"",BBK01.OEAM03I,BBK01.OEAM03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:23,
2002-01,7.433,
2002-04,7.729,
2002-07,8.041,
2002-10,8.277,
2003-01,9.565,
2003-04,9.145,
2003-07,8.352,
2003-10,8.533,
2004-01,8.677,
2004-04,8.914,
2004-07,9.638,
2004-10,9.520,
2005-01,9.430,
2005-04,9.173,
2005-07,8.735,
2005-10,8.885,
2006-01,9.432,
2006-04,10.311,
2006-07,9.577,
2006-10,9.453,
2007-01,8.943,
2007-04,8.788,
2007-07,11.369,
2007-10,10.068,
2008-01,9.375,
2008-04,9.597,
2008-07,9.290,
2008-10,9.194,
2009-01,8.767,
2009-04,9.450,
2009-07,9.010,
2009-10,7.866,
2010-01,9.884,
2010-04,9.707,
2010-07,9.150,
2010-10,7.532,
2011-01,8.662,
2011-04,9.161,
2011-07,11.408,
2011-10,9.842,
2012-01,11.413,
2012-04,13.862,
2012-07,12.488,
2012-10,12.763,
2013-01,14.944,
2013-04,18.101,
2013-07,17.657,
2013-10,15.413,
2014-01,16.370,
2014-04,17.797,
2014-07,16.872,
