"",BBK01.OEXL03S,BBK01.OEXL03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:03,
2002-01,0.058,
2002-04,0.056,
2002-07,0.049,
2002-10,0.046,
2003-01,0.047,
2003-04,0.044,
2003-07,0.042,
2003-10,0.040,
2004-01,0.039,
2004-04,0.033,
2004-07,0.033,
2004-10,0.029,
2005-01,0.029,
2005-04,0.028,
2005-07,0.029,
2005-10,0.029,
2006-01,0.029,
2006-04,0.029,
2006-07,0.033,
2006-10,0.038,
2007-01,0.043,
2007-04,0.044,
2007-07,0.055,
2007-10,0.078,
2008-01,0.057,
2008-04,0.061,
2008-07,0.065,
2008-10,0.058,
2009-01,0.047,
2009-04,0.052,
2009-07,0.051,
2009-10,0.046,
2010-01,0.060,
2010-04,0.068,
2010-07,0.053,
2010-10,0.049,
2011-01,0.053,
2011-04,0.053,
2011-07,0.053,
2011-10,0.057,
2012-01,0.067,
2012-04,0.062,
2012-07,0.061,
2012-10,0.066,
2013-01,0.069,
2013-04,0.070,
2013-07,0.067,
2013-10,0.066,
2014-01,0.065,
2014-04,0.064,
2014-07,0.060,
