"",BBK01.OEAF09O,BBK01.OEAF09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:56,
2002-01,0.062,
2002-04,0.066,
2002-07,0.069,
2002-10,0.070,
2003-01,0.070,
2003-04,0.079,
2003-07,0.074,
2003-10,0.072,
2004-01,0.077,
2004-04,0.079,
2004-07,0.083,
2004-10,0.086,
2005-01,0.068,
2005-04,0.114,
2005-07,0.103,
2005-10,0.108,
2006-01,0.125,
2006-04,0.121,
2006-07,0.124,
2006-10,0.128,
2007-01,0.137,
2007-04,0.134,
2007-07,0.135,
2007-10,0.129,
2008-01,0.123,
2008-04,0.118,
2008-07,0.119,
2008-10,0.076,
2009-01,0.073,
2009-04,0.081,
2009-07,0.081,
2009-10,0.082,
2010-01,0.082,
2010-04,0.081,
2010-07,0.081,
2010-10,0.085,
2011-01,0.076,
2011-04,0.072,
2011-07,0.074,
2011-10,0.078,
2012-01,0.106,
2012-04,0.110,
2012-07,0.109,
2012-10,0.105,
2013-01,0.100,
2013-04,0.132,
2013-07,0.130,
2013-10,0.134,
2014-01,0.134,
2014-04,0.133,
2014-07,0.132,
