"",BBFN1.M.DE.N.1.A.MT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Malta,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:31,
1995-01,0.050,
1995-02,0.045,
1995-03,0.048,
1995-04,0.048,
1995-05,0.046,
1995-06,0.048,
1995-07,0.047,
1995-08,0.046,
1995-09,0.044,
1995-10,0.045,
1995-11,0.046,
1995-12,0.040,
1996-01,0.038,
1996-02,0.038,
1996-03,0.040,
1996-04,0.041,
1996-05,0.042,
1996-06,0.049,
1996-07,0.045,
1996-08,0.044,
1996-09,0.039,
1996-10,0.039,
1996-11,0.038,
1996-12,0.049,
1997-01,0.048,
1997-02,0.053,
1997-03,0.058,
1997-04,0.056,
1997-05,0.056,
1997-06,0.089,
1997-07,0.060,
1997-08,0.061,
1997-09,0.065,
1997-10,0.064,
1997-11,0.064,
1997-12,0.058,
1998-01,0.057,
1998-02,0.057,
1998-03,0.048,
1998-04,0.054,
1998-05,0.057,
1998-06,0.057,
1998-07,0.058,
1998-08,0.061,
1998-09,0.065,
1998-10,0.068,
1998-11,0.074,
1998-12,0.062,
1999-01,0.060,
1999-02,0.064,
1999-03,0.063,
1999-04,0.065,
1999-05,0.075,
1999-06,0.080,
1999-07,0.086,
1999-08,0.059,
1999-09,0.057,
1999-10,0.067,
1999-11,0.062,
1999-12,0.057,
2000-01,0.055,
2000-02,0.064,
2000-03,0.061,
2000-04,0.062,
2000-05,0.076,
2000-06,0.070,
2000-07,0.071,
2000-08,0.070,
2000-09,0.072,
2000-10,0.081,
2000-11,0.077,
2000-12,0.091,
2001-01,0.079,
2001-02,0.085,
2001-03,0.088,
2001-04,0.093,
2001-05,0.085,
2001-06,0.087,
2001-07,0.080,
2001-08,0.081,
2001-09,0.081,
2001-10,0.085,
2001-11,0.076,
2001-12,0.088,
2002-01,0.078,
2002-02,0.076,
2002-03,0.068,
2002-04,0.065,
2002-05,0.064,
2002-06,0.109,
2002-07,0.107,
2002-08,0.106,
2002-09,0.064,
2002-10,0.068,
2002-11,0.066,
2002-12,0.059,
2003-01,0.055,
2003-02,0.059,
2003-03,0.068,
2003-04,0.067,
2003-05,0.064,
2003-06,0.066,
2003-07,0.064,
2003-08,0.061,
2003-09,0.056,
2003-10,0.054,
2003-11,0.060,
2003-12,0.056,
2004-01,0.051,
2004-02,0.051,
2004-03,0.056,
2004-04,0.060,
2004-05,0.054,
2004-06,0.122,
2004-07,0.119,
2004-08,0.123,
2004-09,0.235,
2004-10,0.269,
2004-11,0.274,
2004-12,0.266,
2005-01,0.261,
2005-02,0.262,
2005-03,0.265,
2005-04,0.268,
2005-05,0.143,
2005-06,0.138,
2005-07,0.156,
2005-08,0.154,
2005-09,0.160,
2005-10,0.164,
2005-11,0.161,
2005-12,0.144,
2006-01,0.151,
2006-02,0.156,
2006-03,0.175,
2006-04,0.176,
2006-05,0.176,
2006-06,0.187,
2006-07,0.185,
2006-08,0.184,
2006-09,0.188,
2006-10,0.199,
2006-11,0.184,
2006-12,0.175,
2007-01,0.084,
2007-02,0.087,
2007-03,0.101,
2007-04,0.086,
2007-05,0.091,
2007-06,0.103,
2007-07,0.094,
2007-08,0.115,
2007-09,0.116,
2007-10,0.108,
2007-11,0.113,
2007-12,0.139,
2008-01,0.210,
2008-02,0.126,
2008-03,0.150,
2008-04,0.249,
2008-05,0.257,
2008-06,0.162,
2008-07,0.204,
2008-08,0.140,
2008-09,0.276,
2008-10,0.234,
2008-11,0.246,
2008-12,0.513,
2009-01,0.526,
2009-02,0.443,
2009-03,0.451,
2009-04,0.551,
2009-05,0.743,
2009-06,0.532,
2009-07,0.563,
2009-08,0.628,
2009-09,0.412,
2009-10,0.349,
2009-11,0.284,
2009-12,0.468,
2010-01,0.443,
2010-02,0.527,
2010-03,0.405,
2010-04,0.388,
2010-05,0.415,
2010-06,0.225,
2010-07,0.232,
2010-08,0.238,
2010-09,0.244,
2010-10,0.271,
2010-11,0.346,
2010-12,0.426,
2011-01,0.470,
2011-02,0.747,
2011-03,0.757,
2011-04,0.793,
2011-05,0.778,
2011-06,0.635,
2011-07,0.674,
2011-08,0.641,
2011-09,0.356,
2011-10,0.737,
2011-11,1.113,
2011-12,1.186,
2012-01,1.266,
2012-02,1.249,
2012-03,1.265,
2012-04,1.569,
2012-05,1.014,
2012-06,0.969,
2012-07,0.927,
2012-08,0.761,
2012-09,0.742,
2012-10,0.877,
2012-11,0.918,
2012-12,1.239,
2013-01,1.268,
2013-02,0.989,
2013-03,0.975,
2013-04,1.051,
2013-05,1.079,
2013-06,1.070,
2013-07,0.798,
2013-08,0.897,
2013-09,0.972,
2013-10,1.056,
2013-11,1.021,
2013-12,1.271,
2014-01,1.565,
2014-02,1.175,
2014-03,0.906,
2014-04,0.925,
2014-05,1.003,
2014-06,1.085,
2014-07,0.977,
2014-08,1.475,
2014-09,1.154,
2014-10,1.171,
2014-11,1.206,
2014-12,1.166,
