"",BBK01.OEBI04Q,BBK01.OEBI04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:35,
2002-01,2.019,
2002-04,1.946,
2002-07,2.037,
2002-10,1.955,
2003-01,1.830,
2003-04,1.684,
2003-07,1.676,
2003-10,1.820,
2004-01,1.810,
2004-04,1.775,
2004-07,2.061,
2004-10,1.930,
2005-01,1.851,
2005-04,1.717,
2005-07,1.842,
2005-10,2.049,
2006-01,2.383,
2006-04,2.662,
2006-07,3.092,
2006-10,3.438,
2007-01,3.492,
2007-04,3.662,
2007-07,3.850,
2007-10,4.427,
2008-01,4.772,
2008-04,4.964,
2008-07,5.482,
2008-10,5.207,
2009-01,3.842,
2009-04,3.331,
2009-07,2.771,
2009-10,2.093,
2010-01,1.709,
2010-04,1.530,
2010-07,1.385,
2010-10,1.339,
2011-01,1.324,
2011-04,1.337,
2011-07,1.348,
2011-10,1.453,
2012-01,1.563,
2012-04,1.376,
2012-07,1.348,
2012-10,1.202,
2013-01,1.076,
2013-04,1.094,
2013-07,1.067,
2013-10,1.177,
2014-01,1.255,
2014-04,1.211,
2014-07,1.167,
