"",BBK01.OEAB18H,BBK01.OEAB18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:38,
2002-01,8.135,
2002-04,8.227,
2002-07,8.041,
2002-10,7.821,
2003-01,7.582,
2003-04,7.649,
2003-07,7.791,
2003-10,7.427,
2004-01,7.205,
2004-04,7.158,
2004-07,7.272,
2004-10,6.909,
2005-01,6.838,
2005-04,6.836,
2005-07,6.832,
2005-10,6.603,
2006-01,6.562,
2006-04,6.697,
2006-07,6.724,
2006-10,6.405,
2007-01,6.145,
2007-04,6.011,
2007-07,6.127,
2007-10,6.229,
2008-01,5.927,
2008-04,5.881,
2008-07,5.928,
2008-10,6.003,
2009-01,5.777,
2009-04,5.879,
2009-07,6.005,
2009-10,5.754,
2010-01,5.640,
2010-04,5.765,
2010-07,5.839,
2010-10,5.916,
2011-01,6.000,
2011-04,5.909,
2011-07,6.040,
2011-10,5.936,
2012-01,5.889,
2012-04,5.878,
2012-07,6.014,
2012-10,6.106,
2013-01,4.840,
2013-04,4.965,
2013-07,5.157,
2013-10,5.148,
2014-01,4.966,
2014-04,5.144,
2014-07,5.210,
