"",BBK01.TUB603,BBK01.TUB603_FLAGS
"","Claims an non-euro area residents denominated in foreign currency / balances with banks, security investments, external loans and other external assets / Deutsche Bundesbank",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:39:56,
2002-01,51182,
2002-02,51080,
2002-03,50786,
2002-04,49628,
2002-05,48225,
2002-06,42366,
2002-07,42985,
2002-08,42188,
2002-09,43961,
2002-10,43529,
2002-11,44385,
2002-12,40522,
2003-01,40719,
2003-02,41046,
2003-03,40083,
2003-04,38743,
2003-05,39573,
2003-06,36698,
2003-07,36502,
2003-08,37133,
2003-09,36223,
2003-10,36479,
2003-11,35956,
2003-12,32538,
2004-01,32744,
2004-02,32734,
2004-03,33841,
2004-04,34223,
2004-05,33710,
2004-06,33813,
2004-07,32991,
2004-08,32444,
2004-09,32054,
2004-10,31259,
2004-11,31520,
2004-12,29292,
2005-01,29714,
2005-02,29255,
2005-03,31271,
2005-04,30940,
2005-05,30972,
2005-06,33054,
2005-07,33527,
2005-08,32596,
2005-09,34506,
2005-10,34310,
2005-11,33249,
2005-12,33708,
2006-01,33742,
2006-02,32907,
2006-03,32229,
2006-04,30769,
2006-05,32129,
2006-06,30284,
2006-07,30785,
2006-08,30039,
2006-09,30111,
2006-10,30055,
2006-11,30143,
2006-12,28640,
2007-01,29135,
2007-02,28805,
2007-03,28675,
2007-04,29904,
2007-05,30477,
2007-06,29370,
2007-07,29309,
2007-08,29333,
2007-09,28894,
2007-10,28618,
2007-11,28304,
2007-12,27694,
2008-01,28023,
2008-02,28368,
2008-03,27642,
2008-04,28731,
2008-05,27646,
2008-06,27796,
2008-07,26604,
2008-08,26680,
2008-09,28504,
2008-10,31917,
2008-11,31491,
2008-12,27705,
2009-01,25461,
2009-02,25728,
2009-03,28620,
2009-04,29210,
2009-05,27622,
2009-06,27243,
2009-07,27134,
2009-08,26475,
2009-09,25604,
2009-10,25917,
2009-11,25138,
2009-12,25634,
2010-01,25663,
2010-02,25713,
2010-03,27491,
2010-04,27623,
2010-05,27600,
2010-06,30863,
2010-07,30757,
2010-08,30734,
2010-09,27511,
2010-10,27402,
2010-11,27517,
2010-12,27957,
2011-01,27941,
2011-02,28038,
2011-03,26329,
2011-04,26891,
2011-05,26863,
2011-06,26560,
2011-07,26435,
2011-08,26318,
2011-09,28655,
2011-10,28600,
2011-11,28347,
2011-12,29433,
2012-01,29576,
2012-02,29795,
2012-03,28674,
2012-04,29050,
2012-05,29333,
2012-06,30834,
2012-07,30767,
2012-08,30998,
2012-09,29669,
2012-10,29842,
2012-11,29847,
2012-12,28774,
2013-01,29114,
2013-02,29046,
2013-03,29590,
2013-04,29659,
2013-05,29710,
2013-06,28618,
2013-07,28038,
2013-08,28773,
2013-09,27337,
2013-10,27334,
2013-11,27789,
2013-12,28080,
2014-01,27705,
2014-02,27055,
2014-03,27850,
2014-04,27604,
2014-05,27045,
2014-06,27622,
2014-07,27916,
2014-08,28234,
2014-09,29873,
2014-10,30233,
2014-11,30329,
2014-12,30646,
