"",BBK01.OEBL01T,BBK01.OEBL01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:04,
2002-01,2.301,
2002-04,2.224,
2002-07,2.233,
2002-10,2.282,
2003-01,2.224,
2003-04,2.144,
2003-07,2.133,
2003-10,2.180,
2004-01,2.139,
2004-04,2.105,
2004-07,2.083,
2004-10,2.040,
2005-01,3.102,
2005-04,3.084,
2005-07,3.037,
2005-10,3.105,
2006-01,3.115,
2006-04,3.079,
2006-07,3.071,
2006-10,3.213,
2007-01,3.322,
2007-04,3.396,
2007-07,3.451,
2007-10,3.616,
2008-01,3.672,
2008-04,3.728,
2008-07,3.838,
2008-10,4.133,
2009-01,4.115,
2009-04,4.021,
2009-07,3.952,
2009-10,3.947,
2010-01,3.890,
2010-04,3.895,
2010-07,3.918,
2010-10,4.055,
2011-01,4.101,
2011-04,4.113,
2011-07,4.166,
2011-10,4.329,
2012-01,4.425,
2012-04,4.447,
2012-07,4.394,
2012-10,4.418,
2013-01,4.339,
2013-04,4.308,
2013-07,4.294,
2013-10,4.262,
2014-01,4.256,
2014-04,4.366,
2014-07,4.455,
