"",BBFN1.M.DE.N.1.A.IR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:15,
1994-07,1.910,
1994-08,1.991,
1994-09,1.720,
1994-10,1.596,
1994-11,1.605,
1994-12,1.514,
1995-01,1.447,
1995-02,1.414,
1995-03,1.361,
1995-04,1.347,
1995-05,1.324,
1995-06,1.377,
1995-07,1.328,
1995-08,1.330,
1995-09,1.312,
1995-10,1.240,
1995-11,1.246,
1995-12,1.237,
1996-01,1.163,
1996-02,1.153,
1996-03,1.120,
1996-04,1.168,
1996-05,1.203,
1996-06,1.220,
1996-07,1.198,
1996-08,1.184,
1996-09,1.112,
1996-10,1.108,
1996-11,1.099,
1996-12,1.127,
1997-01,1.146,
1997-02,1.133,
1997-03,1.107,
1997-04,1.081,
1997-05,1.069,
1997-06,1.033,
1997-07,0.961,
1997-08,0.947,
1997-09,0.912,
1997-10,0.898,
1997-11,0.857,
1997-12,0.828,
1998-01,0.804,
1998-02,0.868,
1998-03,0.786,
1998-04,0.766,
1998-05,0.763,
1998-06,0.678,
1998-07,0.682,
1998-08,0.586,
1998-09,0.547,
1998-10,0.535,
1998-11,0.544,
1998-12,0.493,
1999-01,0.476,
1999-02,0.476,
1999-03,0.520,
1999-04,0.378,
1999-05,0.393,
1999-06,0.486,
1999-07,0.473,
1999-08,0.484,
1999-09,0.447,
1999-10,0.315,
1999-11,0.415,
1999-12,0.455,
2000-01,0.454,
2000-02,0.422,
2000-03,0.432,
2000-04,0.428,
2000-05,0.456,
2000-06,0.446,
2000-07,0.454,
2000-08,0.460,
2000-09,0.476,
2000-10,0.490,
2000-11,0.528,
2000-12,0.508,
2001-01,0.489,
2001-02,0.506,
2001-03,0.540,
2001-04,0.488,
2001-05,0.503,
2001-06,0.556,
2001-07,0.404,
2001-08,0.528,
2001-09,0.541,
2001-10,0.553,
2001-11,0.564,
2001-12,0.595,
2002-01,0.582,
2002-02,0.573,
2002-03,0.515,
2002-04,0.381,
2002-05,0.513,
2002-06,0.503,
2002-07,0.535,
2002-08,0.494,
2002-09,0.523,
2002-10,0.525,
2002-11,0.560,
2002-12,0.551,
2003-01,0.590,
2003-02,0.623,
2003-03,0.600,
2003-04,0.637,
2003-05,0.656,
2003-06,0.665,
2003-07,0.689,
2003-08,0.698,
2003-09,0.730,
2003-10,0.719,
2003-11,0.747,
2003-12,0.783,
2004-01,0.748,
2004-02,0.666,
2004-03,0.734,
2004-04,0.697,
2004-05,0.714,
2004-06,0.701,
2004-07,0.777,
2004-08,0.725,
2004-09,0.733,
2004-10,0.726,
2004-11,0.823,
2004-12,0.850,
2005-01,0.753,
2005-02,0.772,
2005-03,0.792,
2005-04,0.807,
2005-05,0.831,
2005-06,0.828,
2005-07,0.920,
2005-08,0.872,
2005-09,0.974,
2005-10,0.946,
2005-11,0.901,
2005-12,0.893,
2006-01,0.945,
2006-02,0.973,
2006-03,1.054,
2006-04,0.973,
2006-05,1.009,
2006-06,0.974,
2006-07,0.948,
2006-08,1.022,
2006-09,0.961,
2006-10,1.011,
2006-11,0.992,
2006-12,1.093,
2007-01,1.027,
2007-02,1.043,
2007-03,1.048,
2007-04,1.065,
2007-05,0.975,
2007-06,0.946,
2007-07,1.050,
2007-08,1.064,
2007-09,1.107,
2007-10,1.006,
2007-11,0.991,
2007-12,0.983,
2008-01,0.999,
2008-02,0.985,
2008-03,0.914,
2008-04,1.234,
2008-05,0.893,
2008-06,0.909,
2008-07,0.980,
2008-08,1.011,
2008-09,0.936,
2008-10,0.919,
2008-11,1.005,
2008-12,0.995,
2009-01,0.982,
2009-02,0.948,
2009-03,0.971,
2009-04,0.937,
2009-05,0.983,
2009-06,0.931,
2009-07,0.890,
2009-08,0.925,
2009-09,0.866,
2009-10,0.900,
2009-11,0.858,
2009-12,0.887,
2010-01,0.864,
2010-02,0.921,
2010-03,0.836,
2010-04,0.862,
2010-05,0.825,
2010-06,0.801,
2010-07,0.862,
2010-08,0.876,
2010-09,0.907,
2010-10,0.878,
2010-11,0.880,
2010-12,1.039,
2011-01,1.021,
2011-02,0.981,
2011-03,0.933,
2011-04,0.899,
2011-05,0.955,
2011-06,0.886,
2011-07,0.920,
2011-08,0.964,
2011-09,0.978,
2011-10,1.005,
2011-11,1.034,
2011-12,0.963,
2012-01,0.897,
2012-02,0.824,
2012-03,0.832,
2012-04,0.802,
2012-05,0.880,
2012-06,0.921,
2012-07,0.887,
2012-08,0.876,
2012-09,0.843,
2012-10,0.842,
2012-11,0.905,
2012-12,0.821,
2013-01,0.793,
2013-02,0.837,
2013-03,0.793,
2013-04,0.793,
2013-05,0.807,
2013-06,0.976,
2013-07,0.972,
2013-08,0.989,
2013-09,0.863,
2013-10,0.837,
2013-11,0.928,
2013-12,0.917,
2014-01,0.735,
2014-02,0.724,
2014-03,0.623,
2014-04,0.606,
2014-05,0.626,
2014-06,0.650,
2014-07,0.648,
2014-08,0.630,
2014-09,0.654,
2014-10,0.674,
2014-11,0.684,
2014-12,0.704,
