"",BBFN1.M.DE.N.1.L.U2.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from credit terms used / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:48,
1995-01,9.310,
1995-02,9.475,
1995-03,10.210,
1995-04,9.924,
1995-05,10.434,
1995-06,10.841,
1995-07,10.069,
1995-08,9.353,
1995-09,10.426,
1995-10,10.581,
1995-11,11.009,
1995-12,10.503,
1996-01,9.851,
1996-02,9.899,
1996-03,10.230,
1996-04,10.010,
1996-05,9.991,
1996-06,9.790,
1996-07,9.623,
1996-08,8.695,
1996-09,9.841,
1996-10,9.668,
1996-11,9.732,
1996-12,9.722,
1997-01,9.580,
1997-02,9.404,
1997-03,9.871,
1997-04,10.274,
1997-05,10.223,
1997-06,10.150,
1997-07,10.090,
1997-08,8.867,
1997-09,10.447,
1997-10,10.541,
1997-11,10.869,
1997-12,10.874,
1998-01,9.853,
1998-02,9.989,
1998-03,10.829,
1998-04,10.460,
1998-05,10.383,
1998-06,10.888,
1998-07,10.648,
1998-08,9.419,
1998-09,11.251,
1998-10,11.009,
1998-11,10.885,
1998-12,10.809,
1999-01,10.153,
1999-02,10.024,
1999-03,11.406,
1999-04,11.168,
1999-05,11.018,
1999-06,11.347,
1999-07,11.161,
1999-08,10.037,
1999-09,11.394,
1999-10,11.364,
1999-11,11.694,
1999-12,12.159,
2000-01,11.670,
2000-02,12.190,
2000-03,13.147,
2000-04,12.644,
2000-05,13.083,
2000-06,13.589,
2000-07,12.987,
2000-08,12.402,
2000-09,13.781,
2000-10,14.065,
2000-11,15.156,
2000-12,14.103,
2001-01,14.056,
2001-02,13.551,
2001-03,14.427,
2001-04,13.432,
2001-05,13.898,
2001-06,14.719,
2001-07,13.458,
2001-08,12.512,
2001-09,13.451,
2001-10,13.870,
2001-11,14.343,
2001-12,14.669,
2002-01,13.320,
2002-02,13.431,
2002-03,13.579,
2002-04,13.341,
2002-05,13.152,
2002-06,13.618,
2002-07,13.658,
2002-08,12.337,
2002-09,13.448,
2002-10,13.591,
2002-11,13.590,
2002-12,13.909,
2003-01,12.842,
2003-02,12.407,
2003-03,13.255,
2003-04,12.389,
2003-05,12.346,
2003-06,12.727,
2003-07,12.684,
2003-08,11.186,
2003-09,12.539,
2003-10,13.082,
2003-11,12.488,
2003-12,13.329,
2004-01,12.253,
2004-02,11.866,
2004-03,13.191,
2004-04,12.087,
2004-05,12.155,
2004-06,12.855,
2004-07,12.704,
2004-08,11.772,
2004-09,13.921,
2004-10,13.953,
2004-11,13.823,
2004-12,14.130,
2005-01,12.698,
2005-02,12.518,
2005-03,13.396,
2005-04,13.419,
2005-05,12.673,
2005-06,13.989,
2005-07,13.441,
2005-08,12.253,
2005-09,14.202,
2005-10,14.053,
2005-11,13.851,
2005-12,14.267,
2006-01,12.996,
2006-02,12.995,
2006-03,14.343,
2006-04,13.290,
2006-05,13.305,
2006-06,13.710,
2006-07,13.111,
2006-08,12.284,
2006-09,14.130,
2006-10,14.632,
2006-11,15.083,
2006-12,15.889,
2007-01,15.480,
2007-02,15.320,
2007-03,16.783,
2007-04,15.523,
2007-05,15.581,
2007-06,16.398,
2007-07,15.568,
2007-08,14.626,
2007-09,15.800,
2007-10,16.731,
2007-11,16.547,
2007-12,15.960,
2008-01,15.967,
2008-02,16.822,
2008-03,17.141,
2008-04,17.276,
2008-05,16.855,
2008-06,17.063,
2008-07,17.104,
2008-08,15.607,
2008-09,17.543,
2008-10,16.939,
2008-11,17.260,
2008-12,15.583,
2009-01,15.247,
2009-02,14.805,
2009-03,15.985,
2009-04,15.210,
2009-05,14.663,
2009-06,16.108,
2009-07,15.941,
2009-08,13.928,
2009-09,15.606,
2009-10,15.688,
2009-11,15.650,
2009-12,16.065,
2010-01,15.123,
2010-02,16.155,
2010-03,17.038,
2010-04,16.710,
2010-05,17.250,
2010-06,18.438,
2010-07,17.991,
2010-08,16.734,
2010-09,18.753,
2010-10,18.649,
2010-11,18.552,
2010-12,19.056,
2011-01,17.953,
2011-02,18.381,
2011-03,19.367,
2011-04,18.532,
2011-05,19.090,
2011-06,20.375,
2011-07,20.017,
2011-08,18.306,
2011-09,20.808,
2011-10,20.758,
2011-11,20.309,
2011-12,19.399,
2012-01,17.458,
2012-02,18.235,
2012-03,18.969,
2012-04,18.183,
2012-05,18.883,
2012-06,19.511,
2012-07,18.904,
2012-08,17.497,
2012-09,18.917,
2012-10,19.786,
2012-11,20.015,
2012-12,21.655,
2013-01,20.214,
2013-02,20.290,
2013-03,19.876,
2013-04,19.437,
2013-05,19.738,
2013-06,19.435,
2013-07,19.567,
2013-08,19.082,
2013-09,20.156,
2013-10,20.620,
2013-11,20.620,
2013-12,20.274,
2014-01,18.231,
2014-02,19.404,
2014-03,19.809,
2014-04,19.404,
2014-05,19.510,
2014-06,20.446,
2014-07,20.717,
2014-08,18.490,
2014-09,20.692,
2014-10,21.027,
2014-11,21.238,
2014-12,18.906,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
