"",BBK01.OEXL09M,BBK01.OEXL09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:42,
2002-01,1.158,
2002-04,1.089,
2002-07,1.105,
2002-10,1.054,
2003-01,0.928,
2003-04,0.824,
2003-07,0.761,
2003-10,0.742,
2004-01,0.721,
2004-04,0.687,
2004-07,0.681,
2004-10,0.737,
2005-01,0.794,
2005-04,0.799,
2005-07,0.754,
2005-10,0.768,
2006-01,0.803,
2006-04,0.848,
2006-07,0.901,
2006-10,0.974,
2007-01,1.220,
2007-04,1.295,
2007-07,1.373,
2007-10,1.509,
2008-01,1.524,
2008-04,1.515,
2008-07,1.381,
2008-10,1.807,
2009-01,1.722,
2009-04,1.670,
2009-07,1.669,
2009-10,1.399,
2010-01,1.336,
2010-04,1.522,
2010-07,1.506,
2010-10,1.770,
2011-01,2.074,
2011-04,1.925,
2011-07,1.952,
2011-10,1.953,
2012-01,1.615,
2012-04,1.567,
2012-07,1.429,
2012-10,1.131,
2013-01,0.909,
2013-04,0.776,
2013-07,0.733,
2013-10,0.700,
2014-01,0.683,
2014-04,0.664,
2014-07,0.844,
