"",BBK01.OECJ02P,BBK01.OECJ02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:20,
2002-01,0.273,
2002-04,0.173,
2002-07,0.348,
2002-10,0.175,
2003-01,0.320,
2003-04,0.266,
2003-07,0.311,
2003-10,0.338,
2004-01,0.273,
2004-04,0.272,
2004-07,0.279,
2004-10,0.391,
2005-01,0.304,
2005-04,0.443,
2005-07,0.426,
2005-10,0.347,
2006-01,0.294,
2006-04,0.281,
2006-07,0.254,
2006-10,0.273,
2007-01,0.272,
2007-04,0.252,
2007-07,0.336,
2007-10,0.317,
2008-01,0.298,
2008-04,0.297,
2008-07,0.258,
2008-10,0.393,
2009-01,0.542,
2009-04,0.443,
2009-07,0.557,
2009-10,0.719,
2010-01,0.578,
2010-04,0.600,
2010-07,0.672,
2010-10,0.656,
2011-01,0.511,
2011-04,0.520,
2011-07,0.544,
2011-10,0.692,
2012-01,0.556,
2012-04,0.771,
2012-07,0.636,
2012-10,0.766,
2013-01,0.598,
2013-04,0.529,
2013-07,0.514,
2013-10,0.518,
2014-01,0.513,
2014-04,0.468,
2014-07,0.435,
