"",BBK01.OECB15M,BBK01.OECB15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:41,
2002-01,0.171,
2002-04,0.166,
2002-07,0.158,
2002-10,0.161,
2003-01,0.150,
2003-04,0.146,
2003-07,0.138,
2003-10,0.138,
2004-01,0.142,
2004-04,0.130,
2004-07,0.126,
2004-10,0.133,
2005-01,0.129,
2005-04,0.137,
2005-07,0.150,
2005-10,0.146,
2006-01,0.141,
2006-04,0.137,
2006-07,0.131,
2006-10,0.123,
2007-01,0.125,
2007-04,0.124,
2007-07,0.126,
2007-10,0.116,
2008-01,0.111,
2008-04,0.096,
2008-07,0.095,
2008-10,0.103,
2009-01,0.095,
2009-04,0.093,
2009-07,0.094,
2009-10,0.089,
2010-01,0.083,
2010-04,0.081,
2010-07,0.084,
2010-10,0.075,
2011-01,0.071,
2011-04,0.059,
2011-07,0.057,
2011-10,0.057,
2012-01,0.055,
2012-04,0.053,
2012-07,0.045,
2012-10,0.044,
2013-01,0.043,
2013-04,0.046,
2013-07,0.047,
2013-10,0.046,
2014-01,0.049,
2014-04,0.047,
2014-07,0.041,
