"",BBK01.TQ7030,BBK01.TQ7030_FLAGS
"",Non-financial corporations sector - Earnings to interest and principal expenses (Debt service coverage)     FSI-I030,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:37,
2005-10,748.12,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,762.03,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,756.00,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,920.82,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,935.84,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,1021.29,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,1233.40,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,890.08,
2013-01,.,No value available
2013-04,.,No value available
2013-07,.,No value available
2013-10,1334.30,
